   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   saṃkṣepeṇa dayāmataḥ sthiratayā paśyanti dharmaṃ budhāḥ KDA_419a	saMkzepeNa dayAm-atas sTira-tayA paSyanti Darmam buDAH KDA_419a
   saṃjñayākhyāyate khalu KDA_220d	saMjQayA-AKyAyate Kalu KDA_220d
   saṃjñāmātreṇa kalpyante KDA_169a	saMjQA-mAtreNa kalpyante KDA_169a
   saṃjñāmātre hi kīrtitāḥ KDA_169d	saMjQA-mAtre hi kIrtitAH KDA_169d
   saṃbabhāṣa subhāṣitam* KDA_3d	saMbaBAza su-BAzitam* KDA_3d
   saṃbuddhadarśanaṃ prati KDA_300b	saMbudDa-darSanam prati KDA_300b
   saṃbuddhadharme ghaṭamāna eva KDA_325d	saMbudDa-Darme GawamAnaH eva KDA_325d
   saṃbuddhaṃ darśaya kṣipraṃ KDA_301c	saMbudDam darSaya kzipram KDA_301c
   saṃbuddho bhagāvan nāthas KDA_468c	saMbudDaH BagAvat nATaH KDA_468c
   saṃbodhiguṇaprāptaye KDA_321d	saMboDi-guNa-prAptaye KDA_321d
   saṃbodhiguṇasāgaram* KDA_307d	saMboDi-guNa-sAgaram* KDA_307d
   saṃbodhiguṇasādhakāḥ KDA_296d	saMboDi-guNa-sADakAH KDA_296d
   saṃbodhipadasādhakāḥ KDA_443b	saMboDi-pada-sADakAH KDA_443b
   saṃbodhipadasādhane KDA_311d	saMboDi-pada-sADane KDA_311d
   saṃbodhipadasādhinaḥ KDA_192d	saMboDi-pada-sADinaH KDA_192d
   saṃyamajñānato dvijaḥ KDA_210b	saMyama-jQAnataH dvijaH KDA_210b
   saṃvṛticārakān api KDA_452d	saMvRti-cArakAn api KDA_452d
   saṃvṛttidharmacāriṇaḥ KDA_379b	saMvRtti-Darma-cAriNaH KDA_379b
   saṃśayoddhatamānasāḥ KDA_456b	saMSaya-udData-mAnasAH KDA_456b
   saṃsāraratiniḥspṛhaḥ KDA_318d	saMsAra-rati-niHspRhaH KDA_318d
   saṃskāraṃ nārhati punaḥ KDA_217b	saMskAram na-arhati punar KDA_217b
   saṃskṛtas tu dvijo bhavet* KDA_119b	saMskRtaH tu dvijaH Bavet* KDA_119b
   saṃskṛtāḥ syur dvijādhamāḥ KDA_93b	saMskRtAH syuH dvija-aDamAH KDA_93b
   saṃskṛtena dvijo vā cec KDA_211c	saMskRtena dvijaH vA ced KDA_211c
   saṃsthānavarṇabhedatā KDA_149d	saMsTAna-varNa-Beda-tA KDA_149d
   saṃsthānavarṇabhedatā KDA_150b	saMsTAna-varNa-Beda-tA KDA_150b
   saṃsthānaṃ bhinnalakṣaṇam* (Speyer:saṃsthānabhinnaŚ) KDA_143d	saMsTAnam Binna-lakzaNam* (SpeyeH-:-saMsTAna-BinnaŚ) KDA_143d
   sākṣāc ca so 'rhann abhavan maharddhikaḥ KDA_326d	sAkzAt ca saH arhan aBavat mahardDikaH KDA_326d
   sākṣād arhatpadaṃ prāpya KDA_298c	sAkzAt arhat-padam prApya KDA_298c
   sāṅgopāṅgān yathākramam* KDA_36b	sa-aFga-upAFgAn yaTAkramam* KDA_36b
   sāṅgopāṅgāṃś ca tatvataḥ KDA_112b	sa-aFga-upAFgAn ca tatvataH KDA_112b
   sātvikāḥ śāntacāriṇaḥ KDA_99b	sAtvikAH SAnta-cAriNaH KDA_99b
   sādhayanti ca ratnāni KDA_180c	sADayanti ca ratnAni KDA_180c
   sādhayanti mahatkāryaṃ KDA_179a	sADayanti mahat-kAryam KDA_179a
   sādhayante tapovane KDA_47b	sADayante tapaH-vane KDA_47b
   sādhavo ye mahātmānaḥ KDA_379a	sADavaH ye mahAtmAnaH KDA_379a
   sādhitaṃ satvahetunā KDA_59b	sADitam satva-hetunA KDA_59b
   sāmagrīṃ prāpya kālaṃ ca KDA_478e	sAmagrIm prApya kAlam ca KDA_478e
   sāmāny akāraṇaṃ manye KDA_158c	sAmAni akAraNam manye KDA_158c
   sārthavāhāś ca te narāḥ KDA_180d	sArTavAhAH ca te narAH KDA_180d
   sārthavāho 'mbudhiṃ gatvā KDA_433a	sArTavAhaH ambuDim gatvA KDA_433a
   sārdhaṃ saśrāvakaiḥ saṃghair KDA_10c	sArDam sa-SrAvakEH saMGEH KDA_10c
   sā subhūtiṃ mahākrodhaṃ KDA_284c	sA suBUtim mahA-kroDam KDA_284c
   siddhavidyo mahotkaṭaḥ KDA_84d	sidDavidyaH mahotkawaH KDA_84d
   sukhaṃ labdhvāpi kiṃ sāraṃ KDA_353c	suKam labDvA-api kim sAram KDA_353c
   sukhībhūte ivātmaje KDA_276b	suKIBUte iva-Atmaje KDA_276b
   sugato lokavijjinaḥ KDA_5d	sugataH loka-vid-jinaH KDA_5d
   sugato lokavij jinaḥ KDA_461d	sugataH loka-vid jinaH KDA_461d
   sujāto lakṣaṇānvitaḥ KDA_28b	sujAtaH lakzaNa-anvitaH KDA_28b
   sutīkṣṇakrodhabāhulaḥ KDA_285d	su-tIkzNa-kroDa-bAhulaH KDA_285d
   supto 'pi na labhen nidrāṃ KDA_374c	suptaH api na laBet nidrAm KDA_374c
   subhūta iti kalpitāḥ KDA_158b	suBUtaH iti kalpitAH KDA_158b
   subhūtinā kṛtaṃ karma KDA_459a	suBUtinA kRtam karma KDA_459a
   subhūtinā tathā caivaṃ KDA_362a	suBUtinA taTA ca-evam KDA_362a
   subhūtinā pitā tataḥ KDA_66b	suBUtinA pitA tatas KDA_66b
   subhūtir eva sadyatiḥ KDA_455b	suBUtiH eva sat-yatiH KDA_455b
   subhūtir dvijasattamaḥ KDA_309b	suBUtiH dvijasattamaH KDA_309b
   subhūtir nirahaṃkṛtiḥ KDA_342b	suBUtiH nirahaMkRtiH KDA_342b
   subhūtir bālasundaraḥ KDA_29b	suBUtiH bAlasundaraH KDA_29b
   subhūtir brāhmaṇo 'py ayam* KDA_82b	suBUtiH brAhmaNaH api ayam* KDA_82b
   subhūtir brāhmaṇo hy eṣa KDA_285a	suBUtiH brAhmaNaH hi eza KDA_285a
   subhūtir mama putro 'yam KDA_38a	suBUtiH mama putraH ayam KDA_38a
   subhūtir muniveṣabhṛt* KDA_77b	suBUtiH muni-veza-BRt* KDA_77b
   subhūtiś ca guruṃ natvā KDA_34c	suBUtiH ca gurum natvA KDA_34c
   subhūtis tatra saṃprāpto KDA_305a	suBUtiH tatra saMprAptaH KDA_305a
   subhūtiṃ dvijasattamam* KDA_88b	suBUtim dvijasattamam* KDA_88b
   subhūtiṃ brahmacāriṇam* KDA_304b	suBUtim brahmacAriNam* KDA_304b
   subhūtiṃ brahmacāriṇam* KDA_453b	suBUtim brahmacAriNam* KDA_453b
   subhūtiṃ brāhmaṇaṃ dṛṣṭvā KDA_81c	suBUtim brAhmaNam dRzwvA KDA_81c
   subhūtiṃ samabodhayat* KDA_89b	suBUtim samaboDayat* KDA_89b
   subhūtiṃ svātmajaṃ tathā KDA_40b	suBUtim sva-Atmajam taTA KDA_40b
   subhūtiṃ svātmajaṃ putraṃ KDA_37c	suBUtim sva-Atmajam putram KDA_37c
   subhūtiḥ kulaputro 'yam KDA_454c	suBUtiH kula-putraH ayam KDA_454c
   subhūtiḥ saṃpramoditaḥ KDA_73b	suBUtiH saMpramoditaH KDA_73b
   subhūtiḥ so 'numoditaḥ KDA_64b	suBUtiH saH anumoditaH KDA_64b
   subhūter avadānaṃ yat KDA_4c	suBUteH avadAnam yat KDA_4c
   subhūter vanadevatā KDA_303b	suBUteH vana-devatA KDA_303b
   subhūteś cittaśuddhatām* KDA_310b	suBUteH citta-SudDa-tAm* KDA_310b
   subhūtes tasya sadyateḥ KDA_363b	suBUteH tasya sat-yateH KDA_363b
   subhūtes tasya sarvathā KDA_308b	suBUteH tasya sarvaTA KDA_308b
   subhūteḥ śaraṇaṃ yayuḥ KDA_357d	suBUteH SaraNam yayuH KDA_357d
   subhūteḥ śaraṇaṃ yayuḥ KDA_361d	suBUteH SaraNam yayuH KDA_361d
   surajyeṣṭhātmajasya ca KDA_394b	sura-jyezWa-Atmajasya ca KDA_394b
   surayā lavaṇena ca KDA_214d	surayA lavaNena ca KDA_214d
   suvītarāgaḥ samaloṣṭahemā KDA_327 a	suvIta-rAgaH sama-lozwa-hemA KDA_327 a
   suvṛṣṭir iva śasyāni KDA_416c	su-vRzwiH iva SasyAni KDA_416c
   susaṃjñāto mahāpuṇyo KDA_9a	su-saMjQAtaH mahA-puNyaH KDA_9a
   suhṛdo yat sahāyāṃś ca KDA_378a	suhRdaH yat sahAyAn ca KDA_378a
   sevyate naiva sajjanaiḥ KDA_71d	sevyate na-eva sat-janEH KDA_71d
   saiva dvijavaro vijño KDA_61c	sA-eva dvijavaraH vijQaH KDA_61c
   so 'dhītyaiṣāṃ suśīghreṇa KDA_35c	saH aDItya-ezAm su-SIGreNa KDA_35c
   so 'pi śakalito rājñā KDA_388c	saH api SakalitaH rAjQA KDA_388c
   so 'pi śāstā vibhāty evaṃ KDA_425c	saH api SAstA viBAti evam KDA_425c
   saukhāvatīṃ gamiṣyatha KDA_448d	sOKAvatIm gamizyaTa KDA_448d
   skandheṣv āyataneṣu ca KDA_225b	skanDezu Ayatanezu ca KDA_225b
   sthaṇḍilā jaṭilās tathā (Speyer: sthāṇḍilā) KDA_171d	sTaNxilAH jawilAH taTA (Speyer: sTANxilA) KDA_171d
   sthātuṃ gantuṃ tathā bhoktuṃ KDA_33a	sTAtum gantum taTA Boktum KDA_33a
   sthāpayiṣye mahajjanān* KDA_354d	sTApayizye mahat-janAn* KDA_354d
   sthirībhava samādhiṣu KDA_279d	sTirIBava samADizu KDA_279d
   snehaviśrambhacāriṇaḥ KDA_378b	sneha-viSramBa-cAriNaH KDA_378b
   snehasatkārapālakam* KDA_381b	sneha-satkArapAlakam* KDA_381b
   sparśaḥ śabdo raso rūpaṃ KDA_104a	sparSaH SabdaH rasaH rUpam KDA_104a
   smṛtau hi tat tathā proktaṃ KDA_120a	smRtO hi tat taTA proktam KDA_120a
   syāc caivedaṃ na yuktitaḥ KDA_200b	syAt ca-eva-idam na yuktitaH KDA_200b
   srotāpattiphalaṃ sākṣāt KDA_319a	srotApatti-Palam sAkzAt KDA_319a
   svakarmapariṇāmataḥ KDA_96d	sva-karma-pariNAmataH KDA_96d
   svakṛtaṃ karma bhuñjanto KDA_100c	sva-kRtam karma BuQjantaH KDA_100c
   svacittaṃ kleśavāyubhiḥ KDA_336b	sva-cittam kleSa-vAyuBiH KDA_336b
   svacitte bhāvitaṃ brahma KDA_62c	sva-citte BAvitam brahma KDA_62c
   svajane 'pi yathā jane KDA_415d	sva-jane api yaTA jane KDA_415d
   svajane vā yathā jane KDA_414b	sva-jane vA yaTA jane KDA_414b
   svadehe 'py anapekṣitāḥ KDA_439b	sva-dehe api anapekzitAH KDA_439b
   svaparātmahitārthataḥ KDA_297b	sva-para-Atma-hita-arTataH KDA_297b
   svaparārthābhighātakāḥ KDA_391b	sva-para-arTa-aBiGAtakAH KDA_391b
   svabandhūn snehataḥ pānti KDA_437c	sva-banDUn snehataH pAnti KDA_437c
   svayam evāsinā ruṣā KDA_388d	svayam eva-asinA ruzA KDA_388d
   svayaṃ nāmāni kurvate KDA_152d	svayam nAmAni kurvate KDA_152d
   svayaṃbhūdehasaṃbhūtaṃ KDA_241c	svayaMBU-deha-saMBUtam KDA_241c
   svayaṃ vīravrataṃ dadhat* KDA_430b	svayam vIra-vratam daDat* KDA_430b
   svargaṃ gatāḥ śīlam upetya dhīrāḥ KDA_203d	svargam gatAH SIlam upetya DIrAH KDA_203d
   svarṇakārādayo narāḥ KDA_181d	svarNakAra-AdayaH narAH KDA_181d
   svarddhibalaprabhāveṇa KDA_362c	sva-RdDi-bala-praBAveNa KDA_362c
   svarddhivalaprabhāveṇa KDA_359c	svaRdDi-vala-praBAveNa KDA_359c
   svasā bhāryā kathaṃ nanu KDA_244d	svasA BAryA kaTam nanu KDA_244d
   svasiddhāntasamāno 'dya KDA_82c	sva-sidDAnta-samAnaH adya KDA_82c
   svasutān snehataḥ pānti KDA_436c	sva-sutAn snehataH pAnti KDA_436c
   svākhyātadharmasādhane KDA_320b	su-AKyAta-Darma-sADane KDA_320b
   svākhyāte dharmavainaye KDA_464b	su-AKyAte Darma-vEnaye KDA_464b
   svātmacittasamāhitaḥ KDA_279b	sva-Atma-citta-samAhitaH KDA_279b
   svātmajān nirdayā ghnanti KDA_380c	sva-AtmajAn nirdayAH Gnanti KDA_380c
   svātmajāḥ pitaraṃ yac ca KDA_381a	sva-AtmajAH pitaram yat ca KDA_381a
   svātmaje iva duḥkhite KDA_275b	sva-Atmaje iva duHKite KDA_275b
   svātmajeṣu yathā sadā KDA_484d	sva-Atmajezu yaTA sadA KDA_484d
   svādādiguṇabhedatā KDA_147b	svAda-Adi-guNa-Beda-tA KDA_147b
   svāminaṃ snehakāriṇam* KDA_386b	svAminam sneha-kAriNam* KDA_386b
   sveṣṭakāryopaghātataḥ KDA_334d	sva-izwa-kArya-upaGAtataH KDA_334d
   hantavyaḥ krodhapannagaḥ KDA_70d	hantavyaH kroDa-pannagaH KDA_70d
   hanyur mārā hi sarvathā KDA_69d	hanyuH mArA hi sarvaTA KDA_69d
   hariṇīgarbhasaṃbhūto KDA_125a	hariNI-garBa-saMBUtaH KDA_125a
   hastena tacchiraḥ spṛśan* KDA_323b	hastena tad-SiraH spRSan* KDA_323b
   haṃsāḥ sarasi mānase KDA_108b	haMsAH sarasi mAnase KDA_108b
   hārābharaṇabhūṣitāḥ KDA_172b	hAra-ABaraNa-BUzitAH KDA_172b
   hitānuśāsanojjvalā KDA_61b	hita-anuSAsana-ujjvalA KDA_61b
   hitārthaṃ tava saṃmatam* KDA_41b	hita-arTam tava saMmatam* KDA_41b
   hitārtheṣu samādhitam* KDA_60b	hita-arTezu samADitam* KDA_60b
   hiṃsākarmānusaṃratāḥ KDA_97d	hiMsA-karma-anusaMratAH KDA_97d
