   bhāmatī	BAmatI
   prathamamavagamāttasyaivopāsyatvaṃ, uta na jīvasya brahmaliṅgavattā	praTamam avagamAt tasya eva upAsya tvan, uta na jIvasya brahma liFga vat tA
   tadabhinnasyāpi /	tat aBinnasya api /
   jīvaliṅgaistu brahma tadvata, tathāca brahmaliṅgānāṃ darśanāt, teṣāṃ ca	jIva liFgEH tu brahma tadvata, taTA ca brahma liFgAnAm darSanAt, tezAm ca
   jīve 'nupapatterbrahmaivopāsyamiti /	jIve anupapatteH brahma eva upAsyam iti /
   vayaṃ tu paśyāmaḥ 'samāropyasya rūpeṇa viṣayo rūpavānbhavet /	vayam tu paSyAmaH  asamAropyasya rUpeNa vizayaH rUpavAn Bavet /
   viṣayasya tu rūpeṇa samāropyaṃ na rūpavat //	vizayasya tu rUpeNa samAropyam na rUpavat //
   'samāropitasya hi rūpeṇa bhujaṅgasya bhīṣaṇatvādinā rajjū rūpavatī, natu	asamAropitasya hi rUpeNa BujaFgasya BIzaNa tva AdinA rajjuH rUpavatI, na tu
   rajjūrūpeṇābhigamyatvādinā bhujaṅgo rūpavān /	rajjU rUpeNa aBigamya tva AdinA BujaFgaH rUpavAn /
   tadā bhujaṅgasyaivābhāvātkiṃ rūpavat /	tadA BujaFgasya eva aBAvAt kim rUpavat /
   bhujaṅgadaśāyāṃ tu na nāsti vāstavī rajjuḥ /	BujaFga daSAyAm tu na na asti vAstavI rajjuH /
   tadiha samāropitajīvarūpeṇa vastusadbrahma rūpavadyujyate, natu	tat iha samAropita jIva rUpeNa vastu sat brahma rUpavat yujyate, na tu
   brahmarūpairnityatvādibhirjīvastadvānbhavitumarhati, tasya	brahma rUpEH nitya tva AdiBiH jIvaH tadvAn Bavitum arhati, tasya
   tadānīmasaṃbhavāt /	tadAnIm asaMBavAt /
   tasmādbrahmaliṅgadarśanājjīve ca tadasaṃbhavādbrahmaivopāsyaṃ na jīva iti	tasmAt brahma liFga darSanAt jIve ca tad asaMBavAt brahma eva upAsyam na jIvaH iti
   siddham /	sidDam /
   etadupalakṣaṇāya ca 'sarvaṃ khalvidaṃ brahma'iti vākyamupanyastamiti //1//	etad upalakzaNAya ca asarvam Kalu idam brahma aiti vAkyam upanyastam iti //1//
   START BsVBh_1,2.1.2	START BsVBh_1,2.1.2
   vivakṣitaguṇopapatteś ca | BBs_1,2.2 |	vivakzita guNa upapatteH ca | BBH _1,2.2 |
   yadyapyapauruṣeya iti /	yadi api apOruzeyaH iti /
   śāstrayonitve 'pīśvarasya	SAstra yoni tve api ISvarasya
   pūrvapūrvasṛṣṭiracitasaṃdarbhāpekṣaracanatvenāsvātantryādapauruṣeyatvābhidhānaṃ,	pUrva pUrva sRzwi racita saMdarBa apekza racana tvena asvAtantryAt apOruzeya tva aBiDAnaM,
   tathā cāsvātantryeṇa vivakṣā nāstītyuktam /	taTA ca asvAtantryeNa vivakzA na asti iti uktam /
   parigrahaparityāgau copādanānupādāne ukte, na tūpādeyatvameva /	parigraha parityAgO ca upAdana anupAdAne ukte, na tu upAdeya tvam eva /
   anyathoddeśyatayānapapādeyasya grahāderavivakṣitatvena camasādāvapi	anyaTA uddeSya tayA anapapAdeyasya graha AdeH avivakzita tvena camasAdO= api
   saṃmārgaprasaṅgāt /	saMmArga prasaFgAt /
   tasmādanupādeyatve 'pi graha uddeśyatayā parigṛhīto vivakṣitaḥ /	tasmAt anupAdeya tve api grahaH uddeSya tayA parigRhItaH vivakzitaH /
   tadgataṃ tvekatvamavacchedakatvena varjitamavivakṣitam /	tad gatam tu eka tvam avacCedaka tvena varjitam avivakzitam /
   icchānicche ca bhaktitaḥ /	icCA anicCe ca BaktitaH /
   tadidamuktam vedavākyatātparyātātparyābhyāmavagamyete iti /	tat idam uktam  veda vAkyatAt paryAtAtparyAByAm avagamyete iti /
   yatparaṃ vedavākyaṃ tattenopāttaṃ vivakṣitam, atatpareṇa	yat param veda vAkyam tat tena upAttam vivakzitam, atatpareNa
   cānupāttamavivakṣitamityarthaḥ //2//	ca anupAttam avivakzitam iti arTaH //2//
   START BsVBh_1,2.1.3	START BsVBh_1,2.1.3
   anupapattes tu na śārīraḥ | BBs_1,2.3 |	anupapatteH tu na SArIraH | BBH _1,2.3 |
   karmakartṛvyapadeśāc ca | BBs_1,2.4 |	karma kartR vyapadeSAt ca | BBH _1,2.4 |
   śabdaviśeṣāt | BBs_1,2.5 |	Sabda viSezAt | BBH _1,2.5 |
   yathā satyasaṃkalpatvādayo brahmaṇyupapadyante, evaṃ śārīre	yaTA satya saMkalpa tva AdayaH brahmaNi upapadyante, evam SArIre
   'pyupapatsyante, śārīrasya brahmaṇo 'bhedāt /	api upapatsyante, SArIrasya brahmaNaH aBedAt /
   śārīraguṇā iva manomayatvādayo brahmaṇītyata āha sūtrakāraḥ anupapattestu	SArIra guNAH iva manaH maya tva AdayaH brahmaNi iti atas Aha sUtra kAraH anupapatteH tu
   na śārīraḥ //3 // //4 // //5//	na SArIraH //3 // //4 // //5//
   START BsVBh_1,2.1.6	START BsVBh_1,2.1.6
   smṛteś ca | BBs_1,2.6 |	smRteH ca | BBH _1,2.6 |
   arbhakaustvāt tadvyapadeśāc ca neti cen na nicāyyatvād evaṃ vyomavac ca |	arBakOH tvAt tad vyapadeSAt ca na iti ced na nicAyya tvAt evam vyoma vat ca |
   BBs_1,2.7 |	BBH _1,2.7 |
   yattadavocāma samāropyadharmāḥ samāropaviṣaye saṃbhavanti, natu	yat tat avocAma samAropya DarmAH samAropa vizaye saMBavanti, na tu
   viṣayadharmāḥ samāropya iti /	vizaya DarmAH samAropya iti /
   tasyeta utthānam /	tasya ita utTAnam /
   atrāha codakaḥ kaḥ punarayaṃ śārīro nāmeti /	atra Aha ca udakaH kaH punar ayam SArIraH nAma iti /
   na tāvadbhedapratiṣedhādbhedavyapadeśācca bhedābhedāvekatra tāttvikau	na tAvat Beda pratizeDAt Beda vyapadeSAt ca Beda aBedO= ekatra tAttvikO
   bhavitumarhato virodhādityuktam /	Bavitum arhataH viroDAt iti uktam /
   tasmādekamiha tāttvikamatāttvikaṃ cetarat, tatra	tasmAt ekam iha tAttvikam atAttvikam ca itarat, tatra
   paurvāparyeṇādvaitapratipādanaparatvādvedāntānāṃ dvaitagrāhiṇaśca	pOrvAparyeNa advEta pratipAdana para tvAt vedAntAnAm dvEta grAhiNaH ca
   mānāntarasyābhāvāttadbādhanācca tenādvaitameva paramārthaḥ /	mAna antarasya aBAvAt tad bADanAt ca tena advEtam eva parama arTaH /
   tathā ca 'anupapattestu'ityādyasaṃgatārthamityarthaḥ /	taTA ca aanupapatteH tu aitya AdyasaMgata arTam iti arTaH /
   pariharati satyamevaitat /	pariharati satyam eva etat /
   para evātmā dehendriyamanobuddhyupādhibhiravicchidyamāno bālaiḥ śārīra	paraH eva AtmA deha indriya manaH budDi upADiBiH avicCidyamAnaH bAlEH SArIra
   ityupacaryate /	iti upacaryate /
   anādyavidyāvacchedalabdhajīvabhāvaḥ para evātmā svato bhedenāvabhāsate /	anAdya vidyA avacCeda labDa jIva BAvaH paraH eva AtmA svatas Bedena avaBAsate /
   tādṛśāṃ ca jīvānāmavidyā, natu nirūpādhino brahmaṇaḥ /	tAdRSAm ca jIvAnAm avidyA, na tu nirUpa aDinaH brahmaNaH /
   na cāvidyāyāṃ satyāṃ jīvātmavibhāgaḥ, sati ca jīvātmavibhāge	na ca avidyAyAm satyAm jIva Atma viBAgaH, sati ca jIva Atma viBAge
   tadāśrayāvidyetyanyonyāśrayamiti sāṃpratam /	tad ASrayA avidyA iti anyonya ASrayam iti sAMpratam /
   anāditvena jīvāvidyayorbījāṅkuravadanavakḷpterayogāt /	anAdi tvena jIva avidyayoH bIja aFkura vat anavak?pteH ayogAt /
   naca sarvajñasya sarvaśakteśca svataḥ kuto 'kasmātsaṃsāritā, yo hi	na ca sarvajQasya sarva SakteH ca svatas kutas akasmAt saMsAritA, yaH hi
   paratantraḥ so 'nyena bandhanāgāre praveśyeta, natu svatantra iti vācyam /	paratantraH saH anyena banDana AgAre praveSyeta, na tu svatantraH iti vAcyam /
   nahi tadbhāgasya jīvasya saṃpratitanī bandhanāgārapraveśitā,	na hi tad BAgasya jIvasya saMpratitanI banDana AgAra praveSitA,
   yenānuyujyeta, kintviyamanādiḥ pūrvapūrvakarmāvidyāsaṃskāranibandhanā	yena anuyujyeta, kintu iyam anAdiH pUrva pUrva karma avidyA saMskAra nibanDanA
   nānuyogamarhati /	na anuyogam arhati /
   na caitāvatā īśvarasyānīśatā na hyupakaraṇādyapekṣitā kartuḥ svātantryaṃ	na ca etAvatA ISvarasya anISa tA na hi upakaraNa Adi apekzitA kartuH svAtantryam
   vihanti /	vihanti /
   tasmādyatkiñceditadapīti //6 // //7//	tasmAt yat kiQcet i tat api iti //6 // //7//
   START BsVBh_1,2.1.8	START BsVBh_1,2.1.8
   saṃbhogaprāptir iti cen na vaiśeṣyāt | BBs_1,2.8 |	saMBoga prAptiH iti ced na vESezyAt | BBH _1,2.8 |
   viśeṣāditi vaktavye vaiśeṣyābhidhānamātyantikaṃ viśeṣaṃ pratipādayitum /	viSezAt iti vaktavye vESezya aBiDAnam Atyantikam viSezam pratipAdayitum /
   tathāhyavidyākalpitaḥ sukhādisaṃgo 'vidyātmana eva jīvasya yujyate /	taTA hi avidyA kalpitaH suKa Adi saMgaH avidyA AtmanaH eva jIvasya yujyate /
   natu nirmṛṣṭanikhilāvidyātadvāsanasya śuddhabuddhamuktasvabhāvasya	na tu nirmRzwa niKila avidyA tadvAsanasya SudDa budDa mukta svaBAvasya
   paramātmana ityarthaḥ /	paramAtmanaH iti arTaH /
   śeṣamatirohitārtham //8//	Sezam ati rohita arTam //8//
   START BsVBh_1,2.2.9 10	START BsVBh_1,2.2.9 10
   attā carācaragrahaṇāt | BBs_1,2.9 |	attA carAcara grahaNAt | BBH _1,2.9 |
   prakaraṇāc ca | BBs_1,2.10 |	prakaraNAt ca | BBH _1,2.10 |
   attā carācaragrahaṇāt /	attA carAcara grahaNAt /
   kaṭhavallīṣu paṭhyate yasya brahma ca kṣatraṃ cobhe bhavata odanaḥ /	kaWavallIzu paWyate yasya brahma ca kzatram ca uBe BavataH odanaH /
   mṛtyuryasyopasecanaṃ ka itthā veda yatra sa iti /	mRtyuH yasya upasecanam kaH itTA veda yatra saH iti /
   atra cādanīyaudānopasecanasīcitaḥ kaścidattā pratīyate /	atra cAdanIya OdAna upasecana sIcitaH kaScid attA pratIyate /
   attṛtvaṃ ca bhoktṛtā vā saharntṛtā vā syāt /	attR tvam ca BoktRtA vA sa harntRtA vA syAt /
   naca prastutasya paramātmano bhoktṛtāsti,	na ca prastutasya paramAtmanaH BoktRtA asti,
   'anaśrannanyo 'abhicākaśīti'iti śrutyā bhoktṛtāpratiṣedhāt /	aanaSran= anyaH aaBicAka SIti aiti SrutyA BoktRta apratizeDAt /
   jīvātmanaśca bhoktṛtāvidhānāt 'tayoranyaḥ pippalaṃ svādvatti'iti /	jIvAtmanaH ca BoktRta aviDAnAt  atayoH anyaH pippalam svAdvatti aiti /
   tadyadi bhoktṛtvamattṛtvaṃ tato muktasaṃśayaṃ jīvātmaiva pratipattavyaḥ /	tat yadi BoktR tva mattR tvam tatas mukta saMSayam jIvAtmA eva pratipattavyaH /
   brahmakṣatrādi cāsya kāryakāraṇasaṃghāto bhogāyatanatayā vā sākṣādvā /	brahma kzatra Adi ca asya kArya kAraNa saMGAtaH Boga Ayatana tayA vA sAkzAt vA /
   saṃbhavati bhogyam /	saMBavati Bogyam /
   atha tu saṃhartṛtā bhoktṛtā, tatastrayāṇāmagnijīvaparamātmanāṃ	aTa tu saMhartR tA BoktRtA, tatas trayANAm agni jIva paramAtmanAm
   praśnopanyāsopalabdheḥ saṃhartṛtvasyāviśeṣādbhavati saṃśayaḥ kimattā	praSna upanyAsa upalabDeH saMhartR tvasya aviSezAt Bavati saMSayaH kimattA
   agnirāho jīva utāho paramātmeti /	agniH Aho jIvaH uta aho paramAtmA iti /
   tatraudanasya bhogyatvena loke prasiddherbhoktṛtvameva prathamaṃ buddhau	tatra odanasya Bogya tvena loke prasidDeH BoktR tvam eva praTamam budDO
   viparivartate, caramaṃ tu saṃhartṛtvamiti bhoktaivāttā /	viparivartate, caramam tu saMhartR tvam iti BoktA eva AttA /
   tathā ca jīva eva /	taTA ca jIvaH eva /
   'na jāyate mriyate'iti ca tasyaiva stutiḥ /	ana jAyate mriyate aiti ca tasya eva stutiH /
   yadi tu saṃhārakāle 'pi saṃskāramātreṇa tasyāvasthānāt /	yadi tu saMhAra kAle api saMskAra mAtreNa tasya avasTAnAt /
   durjñānatvaṃ ca tasya sūkṣmatvāt /	durjQAna tvam ca tasya sUkzma tvAt /
   tasmājjīva evāttehopāsyata iti prāptam /	tasmAt jIvaH eva Atta iha upAsyate iti prAptam /
   yadi tu saṃhartṛtvamattṛtvaṃ tathāpyagnirattā, 'agnirannādaḥ'iti	yadi tu saMhartR tva mattR tvam taTA api agniH attA, aagniH anna AdaH aiti
   śrutiprasiddhibhyām /	Sruti prasidDiByAm /
   evaṃ prāptebhidhīyate attātra paramātmā, kutaḥ, carācaragrahaṇāt /	evam prAptA iBiDIyate attA atra paramAtmA, kutas , carAcara grahaNAt /
   'ubhe yasyodanaḥ'iti 'mṛtyuryasyopasecanam'iti ca śrūyate /	auBe yasya udanaH aiti amRtyuH yasya upasecanam aiti ca SrUyate /
   tatra yadi jīvasya bhogāyatanatayā tatsādhanatayā ca kāryakāraṇasaṃghātaḥ	tatra yadi jIvasya Boga Ayatana tayA tad sADana tayA ca kArya kAraNa saMGAtaH
   sthitaḥ, na tarhyedanaḥ /	sTitaH, na tarhi edanaH /
   nahyodano bhogāyatanaṃ, nāpi bhogasādhanaṃ, api tu bhogyaḥ /	na hi odanaH Boga AyatanaM, na api Boga sADanan, api tu BogyaH /
   naca bhogāyatanasya bhogasādhanasya vā bhogyatvaṃ mukhyam /	na ca Boga Ayatanasya Boga sADanasya vA Bogya tvam muKyam /
   na cātra mṛtyurupasecanatayā kalpyate /	na ca atra mRtyuH upasecana tayA kalpyate /
   naca jīvasya kāryakāraṇasaṃghāto brahmakṣatrādirūpo bhakṣyaḥ,	na ca jIvasya kArya kAraNa saMGAtaH brahma kzatra Adi rUpaH BakzyaH,
   kasyacitkrūrasattvasya vyāghrādeḥ kaścidbhavet na tu sarvathā sarvajīvasya	kasyacid krUra sattvasya vyAGra AdeH kaScid Bavet na tu sarvaTA sarva jIvasya
   tena brahmakṣatraviṣayamapi sarvajīvasyāttṛtvaṃ na vyāpnoti, kimaṅga	tena brahma kzatra vizayam api sarva jIvasya AttR tvam na vyApnoti, kim aFga
   punarmṛtyūpasecanavyāptaṃ carācaram /	punar mRtyu upasecana vyAptam carAcaram /
   na caudanapadātprathamāvagatabhogyatvānurodhena yathāsaṃbhavamattṛtvaṃ	na ca odana padAt praTama avagata Bogya tva anuroDena yaTAsaMBava mattR tvam
   yojyata iti yuktam /	yojyate iti yuktam /
   nahyodanapadaṃ śrutyā bhogyatvamāha, kintu lakṣaṇayā /	na hi odana padam SrutyA Bogya tvam Aha, kintu lakzaNayA /
   naca lākṣaṇikabhogyatvānurodhena 'mṛtyuryasyopasecanam'iti, 'brahma ca	na ca lAkzaNika Bogya tva anuroDena amRtyuH yasya upasecanam aiti, abrahma ca
   kṣatraṃ ca'iti ca śrutī saṃkocamarhataḥ /	kzatram ca aiti ca SrutI saMkocam arhataH /
   naca brahmakṣatre evātra vivakṣite, mṛtyūpasecanena	na ca brahma kzatre eva atra vivakzite, mRtyu upasecanena
   prāṇabhṛnmātropasthāpanāt /	prANa BRt mAtra upasTApanAt /
   prāṇiṣu pradhānatvena ca brahmakṣatropanyāsasyopapatteḥ,	prANizu praDAna tvena ca brahma kzatra upanyAsasya upapatteH,
   anyanivṛtteraśābdatvāt anarthatvācca /	anya nivRtteH aSAbda tvAt anarTa tvAt ca /
   tathāca carācarasaṃhartṛtvaṃ paramātmana eva /	taTA ca carAcara saMhartR tvam paramAtmanaH eva /
   nāgneḥ /	na agneH /
   nāpi jīvasya /	na api jIvasya /
   tathāca 'na jāyate mriyate vā vipaścit'iti brahmaṇaḥ prakṛtasya na hānaṃ	taTA ca ana jAyate mriyate vA vipaScit aiti brahmaNaH prakRtasya na hAnam
   bhaviṣyati /	Bavizyati /
   'ka itthā veda yatra saḥ'iti ca durjñānatopapatsyate /	akaH itTA veda yatra saH aiti ca durjQAna tA upapatsyate /
   jīvasya tu sarvalokaprasiddhasya na durjñānatā /	jIvasya tu sarva loka prasidDasya na durjQAna tA /
   tasmādattā paramātmaiveti siddham //9// //10//	tasmAt attA paramAtmA eva iti sidDam //9// //10//
   START BsVBh_1,2.3.11	START BsVBh_1,2.3.11
   guhāṃ praviṣṭāv ātmānau hi taddarśanāt | BBs_1,2.11 |	guhAm pravizwO AtmAnO hi tad darSanAt | BBH _1,2.11 |
   guhāṃ praviṣṭāvātmānau hi taddarśanāt /	guhAm pravizwO= AtmAnO hi tad darSanAt /
   saṃśayamāha tatreti /	saMSayam Aha tatra iti /
   pūrvapakṣe prayojanamāha yadi buddhijīvāviti /	pUrva pakze prayojanam Aha yadi budDi jIvO= iti /
   siddhānte prayojanamāha atha jīvaparamātmanāviti /	sidDAnte prayojanam Aha aTa jIva paramAtmanO= iti /
   autsargikasya mukhyatābalātpūrvasiddhāntapakṣāsaṃbhavena pakṣāntaraṃ	Otsargikasya muKya tA balAt pUrva sidDAnta pakzA saMBavena pakza antaram
   kalpayiṣyata iti manvānaḥ saṃśayamākṣipati atrāhākṣepteti /	kalpayizyate iti manvAnaH saMSayam Akzipati atra aha AkzeptA iti /
   ṛtaṃ satyam /	Rtam satyam /
   avaśyaṃbhāvīti yāvat /	avaSyaMBAvi iti yAvat /
   samādhatte atrocyata iti /	samADatte atra ucyate iti /
   adhyātmādhikārādanyau tāvatpātārāvaśakyau kalpayitum /	aDyAtma aDikArAt anyO tAvat pAta ArAva SakyO kalpayitum /
   tadiha buddheracaitanyena paramātmanaśca bhoktṛtvaniṣedhena jīvātmaivaikaḥ	tat iha budDeH acEtanyena paramAtmanaH ca BoktR tva nizeDena jIva AtmA eva ekaH
   pāda pariśiṣyata iti	pAda pariSizyate iti
   'sṛṣṭīrupadadhāti'itivadvivacanānurodhādapibatsaṃsṛṣṭatāṃ svārthasya	asRzwIH u pada DAti aitivat vivacana anuroDAt apibat saMsRzwa tAm sva arTasya
   pibacchabdo lakṣayansvārthamajahannitaretarayuktapibadapibatparo	pibat SabdaH lakzayan sva arTam ajahannitaretara yukta pibada pibat paraH 
   bhavatītyarthaḥ /	Bavati iti arTaH /
   astu vā mukhya eva, tathāpi na doṣa ityāha yadveti /	astu vA muKyaH eva, taTA api na dozaH iti Aha yat vA iti /
   svātantryalakṣaṇaṃ hi kartṛtvaṃ tacca pāturiva pāyayiturapyastīti so 'pi	svAtantrya lakzaNam hi kartR tvam tat ca pAtuH iva pAyayituH api asti iti saH api
   kartā /	kartA /
   ata eva cāhuḥ 'yaḥ kārayati sa karotyeva'iti /	atas eva ca AhuH  ayaH kArayati sa karoti eva aiti /
   evaṃ karaṇasyāpi svātantryavivakṣayā kathañcitkartṛtvaṃ, yathā kāṣṭhāni	evam karaNasya api svAtantrya vivakzayA kaTaQcid kartR tvaM, yaTA kAzWAni
   pacantīti /	pacanti iti /
   tasmānmukhyatve 'pyavirodha iti /	tasmAt muKya tve api aviroDaH iti /
   tadevaṃ saṃśayaṃ samādhāya pūrvapakṣaṃ gṛhṇāti buddhikṣetrajñāviti /	tat evam saMSayam samADAya pUrva pakzam gRhNAti  budDi kzetrajQO= iti /
   'niyatādhāratā buddhijīvasaṃbhavinī nahi /	aniyata ADAra tA budDi jIva saMBavinI na hi /
   kleśātkalpayituṃ yuktā sarvage paramātmani //	kleSAt kalpayitum yuktA sarvage paramAtmani //
   'naca pibantāvitivatpraviṣṭapadamapi lākṣaṇikaṃ yuktaṃ, sati mukhyārthatve	anaca pibantO= iti vat pravizwa padam api lAkzaNikam yuktaM, sati muKya arTa tve
   lākṣaṇikārthatvāyogāt, buddhijīvayośca guhāpraveśopapatteḥ /	lAkzaNikA arTa tva ayogAt, budDi jIvayoH ca guhA praveSa upapatteH /
   apica 'sukṛtasya loke'iti sukṛtalokavyavasthānena karmagocarānatikrama	api ca asukRtasya loke aiti sukRta loka vyavasTAnena karma gocara an atikrama
   uktaḥ /	uktaH /
   buddhijīvau ca karmagocaraṃmanatikrāntau /	budDi jIvO ca karma gocaraMmanatikrAntO /
   jīvo hi bhoktṛtayā buddhiśca bhogasādhanatayā dharmasya gocare sthitau, na	jIvaH hi BoktRtayA budDiH ca Boga sADana tayA Darmasya gocare sTitO, na
   tu brahma, tasya tadāyattatvāt /	tu brahma, tasya tad Ayatta tvAt /
   kiñca chāyātapāviti tamaḥprakāśāvuktau /	kiQca CAyA AtapO= iti tamaH prakASO= uktO /
   naca jīvaḥ paramātmano 'bhinnastamaḥ prakāśarūpatvāt buddhistu jaḍatayā	na ca jIvaH paramAtmanaH aBinnaH tamaH prakASa rUpa tvAt budDiH tu jaxa tayA
   tama iti śakyopadeṣṭum /	tamaH iti Sakya upadezwum /
   tasmādbuddhijīvāvatra kathyete iti tatrāpi prete vicikitsāpanuttaye	tasmAt budDi jIvO= atra kaTyete iti tatra api prete vicikitsA apanuttaye
   buddherbhedena paralokī jīvo darśanīya iti buddhirucyate /	budDeH Bedena para lokI jIvaH darSanIyaH iti budDiH ucyate /
   evaṃprāptebhidhīyate 	evaMprAptA iBiDIyate 
   'ṛtapānena jīvātmā niścito 'sya dvitīyatā /	aRta pAnena jIvAtmA niScitaH asya dvitIya tA /
   brahmaṇaiva sarūpeṇa na tu buddhyā virūpayā //1//	brahmaNA eva sarUpeNa na tu budDyA virUpayA //1//
   prathamaṃ sadvitīyatve brahmaṇāvagate sati /	praTamam sa dvitIya tve brahmaNA avagate sati /
   guhyāśrayatvaṃ caramaṃ vyākhyeyamavirodhataḥ' //2//	guhya ASraya tvam caramam vyAKyeyam aviroDataH a //2//
   gauḥ sadvitīyetyukte sajātīyenaiva gavāntareṇāvagamyate, na tu	gOH sa dvitIya iti ukte sajAtIyena eva gavA antareNa avagamyate, na tu
   vijātīyenāśvādinā /	vijAtIyena ASva AdinA /
   tadiha cetano jīvaḥ sarūpeṇa cetanāntareṇaiva brahmaṇā sadvitīyaḥ	tat iha cetanaH jIvaH sarUpeNa cetanA antareNa eva brahmaNA sa dvitIyaH
   pratīyate, na tvacetanayā virūpayā buddhyā /	pratIyate, na tu acetanayA virUpayA budDyA /
   tadevam 'ṛtaṃ pibantau'ityatra prathamamavagate brahmaṇi tadanurodhena	tat evam aRtam pibantO aiti atra praTamam avagate brahmaNi tad anuroDena
   caramaṃ guhāśrayatvaṃ śālagrāme hariritivadvyākhyeyam /	caramam guhA ASraya tvam SAlagrAme hariH iti vat vyAKyeyam /
   bahulaṃ hi guhāśrayatvaṃ brahmaṇaḥ śrutaya āhuḥ /	bahulam hi guhA ASraya tvam brahmaNaH SrutayaH AhuH /
   tadidamuktam taddarśanāditi /	tat idam uktam  tad darSanAt iti /
   tasya brahmaṇo guhāśrayatvasya śrutiṣu darśanāditi /	tasya brahmaNaH guhA ASraya tvasya Srutizu darSanAt iti /
   evañca prathamāvagatabrahmānurodhena sukṛtalokavartitvamapi tasya	evaQca praTama avagata brahma anuroDena sukRta loka varti tvam api tasya
   lakṣaṇayā chatrinyāyena gamayitavyam /	lakzaNayA Catri nyAyena gamayitavyam /
   chāyātapatvamapi jīvasyāvidyāśrayatayā brahmaṇaśca	CAyA Atapa tvam api jIvasya avidyA Sraya tayA brahmaNaH ca
   śuddhaprakāśasvabhāvasya tadanāśrayatayā mantavyam //11//	SudDa prakASa svaBAvasya tad anASraya tayA mantavyam //11//
   START BsVBh_1,2.3.12	START BsVBh_1,2.3.12
   viśeṣaṇāc ca | BBs_1,2.12 |	viSezaNAt ca | BBH _1,2.12 |
   imameva nyāyaṃ 'dvā suparṇā'ityatrāpyudāharaṇe kṛtvācintayā yojayati eṣa	imam eva nyAyam advA suparNA aityatra api udAharaNe kRtvA acintayA yojayati eza
   eva nyāya iti /	eva nyAyaH iti /
   atrāpi kiṃ buddhijīvau uta jīvaparamātmānāviti saṃśayya karaṇarūpāyā api	atra api kim budDi jIvO uta jIva paramAtmAnO= iti saMSayya karaNa rUpAyAH api
   buddheredhāṃsi pacantītivatkartṛtvopacārādbuddhijīvāviha pūrvapakṣayitvā	budDeH eDAMsi pacanti iti vat kartR tva upacArAt budDi jIvO= iha pUrva pakzayitvA
