   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   ekaikaṃ yānamaparyantadharmābhāsena deśayati //	ekEkam yAnam aparyanta Darma ABAsena deSayati //
   (Dbh 52)	(DB 52)
   punaraparaṃ dharmapratisaṃvidā	punar aparam Darma pratisaMvidA
   sarvabodhisattvacarijñānacaridharmacarijñānānugamamavatarati /	sarva boDisattva cari jQAna cari Darma cari jQAna anugamam avatarati /
   arthapratisaṃvidā daśabhūmivyavasthānanirdeśapravibhaktimavatarati /	arTa pratisaMvidA daSa BUmi vyavasTAna nirdeSa praviBaktim avatarati /
   niruktipratisaṃvidā yathābhūmimārgopasaṃhārasaṃbhedena nirdiśati /	nirukti pratisaMvidA yaTA BUmi mArga upasaMhAra saMBedena nirdiSati /
   pratibhānapratisaṃvidā ekaikāṃ bhūmimaparyantākāreṇa nirdiśati //	pratiBAna pratisaMvidA ekEkAm BUmim aparyanta AkAreNa nirdiSati //
   punaraparaṃ dharmapratisaṃvidā sarvatathāgataikalakṣaṇānubodhamavatarati /	punar aparam Darma pratisaMvidA sarva taTAgata eka lakzaNa anuboDam avatarati /
   arthapratisaṃvidā nānākālavastulakṣaṇavibhaṅgānugamaṃ prajānāti /	arTa pratisaMvidA nAnA kAla vastu lakzaNa viBaFga anugamam prajAnAti /
   niruktipratisaṃvidā yathābhisaṃbodhiṃ vibhaktinirdeśena nirdiśati /	nirukti pratisaMvidA yaTA aBisaMboDim viBakti nirdeSena nirdiSati /
   pratibhānapratisaṃvidā ekaikaṃ dharmapadamaparyantakalpāvyavacchedena	pratiBAna pratisaMvidA ekEkam Darma padam aparyanta kalpa avyavacCedena
   nirdiśati //	nirdiSati //
   punaraparaṃ dharmapratisaṃvidā	punar aparam Darma pratisaMvidA
   sarvatathāgatavāgbalavaiśarādyabuddhadharmamahākaruṇāpratisaṃvitprayogadharmacakrānupravartamānasarvajñajñānānugamaṃ	sarva taTAgata vAc bala vESara Adya budDa Darma mahA karuNA pratisaMvid prayoga Darma cakra anupravartamAna sarvajQa jQAna anugamam
   prajānāti / arthapratisaṃvidā caturaśītisattvacaritasahasrāṇāṃ yathāśayaṃ	prajAnAti / arTa pratisaMvidA caturaSIti sattva carita sahasrANAm yaTASayam
   yathendriyaṃ yathādhimuktivibhaktitastathāgataghoṣaṃ prajānati /	yaTA indriyam yaTA aDimukti viBaktitaH taTAgata Gozam prajAnati /
   niruktipratisaṃvidā sarvasattvacaryāsaṃbhedatastathāgataghoṣānuraveṇa	nirukti pratisaMvidA sarva sattva caryA saMBedataH taTAgata Goza anuraveNa
   nirdiśati / pratibhānapratisaṃvidā	nirdiSati / pratiBAna pratisaMvidA
   tathāgatajñānaprabhācaryāmaṇḍalādhimukttyā dharmaṃ deśayati //	taTAgata jQAna praBA caryA maNxala aDimukttyA Darmam deSayati //
   sa evaṃ pratisaṃvidā jñānābhinirhārakuśalo bho jinaputra bodhisattvo	saH evam pratisaMvidA jQAna aBinirhAra kuSalaH Bo jinaputra boDisattvaH 
   navamīṃ bodhisattvabhūmimanuprāptastathāgatadharmakośaprāpto	navamIm boDisattva BUmim anuprAptaH taTAgata Darma koSa prAptaH 
   mahādharmabhāṇakatvaṃ ca kurvāṇaḥ arthavatīdhāraṇīpratilabdhaśca bhavati /	mahA Darma BANaka tvam ca kurvANaH arTavatI DAraNI pratilabDaH ca Bavati /
   dharmavatī ... / jñānābhinirhāravatī ... / avabhāsavatī ... /	DarmavatI ... / jQAna aBinirhAravatI ... / avaBAsavatI ... /
   vasumatīdhāraṇī ... / sumatidhāraṇī ... / tejodhāraṇī ... /	vasumatI DAraNI ... / sumati DAraNI ... / tejaH DAraNI ... /
   asaṅgamukhadhāraṇī ... / ananta ... / vicitrārthakośa ... / sa evamādīnāṃ	asaFga muKa DAraNI ... / anantaH ... / vicitra arTa koSaH ... / saH evamAdInAm
   dhāraṇīpadānāṃ paripūrṇāni daśadhāraṇīmukhāsaṃkhyeyaśatasahasrāṇi	DAraNI padAnAm paripUrNAni daSa DAraNI muKa asaMKyeya Sata sahasrANi
   pratilabhate / tathā asaṃkhyeyaśatasahasrānugatenaiva svarāṅgakauśalyena	pratilaBate / taTA asaMKyeya Sata sahasra anugatena eva svara aFga kOSalyena
   tāvadapramāṇānugatenaiva pratibhānavibhaktimukhena dharmaṃ deśayati / sa	tAvat apramANa anugatena eva pratiBAna viBakti muKena Darmam deSayati / sa
   evamapramāṇairdhāraṇīmukhāsaṃkhyeyaśatasahasrairdaśasu dikṣu aprameyāṇāṃ	evam apramANEH DAraNI muKa asaMKyeya Sata sahasrEH daSasu dikzu aprameyANAm
   buddhānāṃ bhagavatāṃ sakāśāddharmaṃ śṛṇoti / śrutvā ca na vismārayati /	budDAnAm BagavatAm sakASAt Darmam SRNoti / SrutvA ca na vismArayati /
   yathāśrutaṃ ca apramāṇavibhaktita evaṃ nirdiśati //	yaTASrutam ca apramANa viBaktitaH evam nirdiSati //
   sa ekasya tathāgatasya	saH ekasya taTAgatasya
   sakāśāddaśabhirdhāraṇīmukhāsaṃkhyeyaśatasahasrairdharmān paryavāpnoti /	sakASAt daSaBiH DAraNI muKa asaMKyeya Sata sahasrEH DarmAn paryavApnoti /
   yathā caikasya, evamaparyantānāṃ tathāgatānām / sa praṇidhānamātreṇa	yaTA ca ekasya, evam aparyantAnAm taTAgatAnAm / sa praNiDAna mAtreNa
   bahutaraṃ samyaksaṃbuddhasakāśāddharmamukhālokaṃ saṃpratīcchati, na tveva	bahutaram samyaksaMbudDa sakASAt Darma muKa Alokam saMprati icCati, na tu eva
   mahābāhuśrutyaprāptaḥ śrāvakaḥ śrutodgrahaṇadhāraṇīpratilabdhaḥ	mahA bAhu Srutya prAptaH SrAvakaH Sruta udgrahaNa DAraNI pratilabDaH
   kalpaśatasahasrodgrahaṇādhiṣṭhānena / sa evaṃ dhāraṇīprāptaśca bhavati	kalpa Sata sahasra udgrahaNa aDizWAnena / saH evam DAraNI prAptaH ca Bavati
   pratibhānaprāptaśca dharmasāṃkathyaṃ saṃniṣaṇṇaḥ sarvāvatīṃ	pratiBAna prAptaH ca Darma sAMkaTyam saMnizaNNaH sarvAvatIm
   trisāhasramahāsāhasralokadhātuṃ spharitvā yathāśayavibhaktitaḥ sattvebhyo	tri sAhasra mahA sAhasra lokaDAtum sParitvA yaTASaya viBaktitaH sattveByaH 
   dharmaṃ deśayati dharmāsane niṣaṇṇaḥ / dharmāsanaṃ cāsya	Darmam deSayati Darma Asane nizaNNaH / Darma Asanam ca asya
   tathāgatānabhiṣekabhūmiprāptān bodhisattvān sthāpayitvā sarvato	taTAgatAn aBizeka BUmi prAptAn boDisattvAn sTApayitvA sarvatas 
   viśiṣṭamapramāṇāvabhāsaprāptaṃ bhavati / sa dharmāsane niṣaṇṇa ākāṅkṣan	viSizwam apramANa avaBAsa prAptam Bavati / sa Darma Asane nizaNNaH AkAFkzan
   ekaghoṣodāhāreṇa sarvaparṣadaṃ nānāghoṣarutavimātratayā saṃjñāpayati /	eka Goza udAhAreNa sarva parzadam nAnA Goza ruta vimAtra tayA saMjQApayati /
   ākāṅkṣan nānāghoṣanānāsvarāṅgavibhaktibhirājñāpayati / ākāṅkṣan	AkAFkzat nAnA Goza nAnA svara aFga viBaktiBiH AjQApayati / AkAFkzan
   raśmimukhopasaṃhārairdharmamukhāni niścārayati / ākāṅkṣan	raSmi muKa upa saMhArEH Darma muKAni niScArayati / AkAFkzan
   sarvaromakūpebhyo ghoṣānniścārayati / ākāṅkṣan	sarva romakUpeByaH GozAn niScArayati / AkAFkzan
   yāvattrisāhasramahāsāhasrāyāṃ lokadhātau rūpāvabhāsāstebhyaḥ	yAvat tri sAhasra mahA sAhasrAyAm lokaDAtO rUpa avaBAsAH teByaH
   sarvarūpāvabhāsebhyo dharmarutāni niścārayati / ākāṅkṣan ekasvararutena	sarva rUpa avaBAseByaH Darma rutAni niScArayati / AkAFkzan eka svara rutena
   sarvadharmadhātuṃ vijñāpayati / ākāṅkṣan sarvarutanirghoṣeṣu	sarva DarmaDAtum vijQApayati / AkAFkzan sarva ruta nirGozezu
   dharmarutamadhitiṣṭhati / ākāṅkṣan (Dbh 53) sarvalokadhātuparyāpannebhyo	Darmarutam aDitizWati / AkAFkzan (DB 53) sarva loka DAtu paryApanneByaH 
   gītāvādyatūryaśabdebhyo dharmarutaṃ niścārayati / ākāṅkṣan	gIta a= Adya tUrya SabdeByaH Darmarutam niScArayati / AkAFkzan
   ekākṣararutātsarvadharmapadaprabhedarutaṃ niścārayati / ākāṅkṣan	eka akzara rutAt sarva Darma pada praBeda rutam niScArayati / AkAFkzan
   anabhilāpyānabhilāpyalokadhātvaparyantataḥ pṛthivyaptejovāyuskandhebhyaḥ	anaBilApya anaBilApya lokaDAtu aparyantataH pRTivI ap tejaH vAyu skanDeByaH
   sūkṣmaparamāṇurajaḥprabhedata ekaikaparamāṇurajonabhilāpyāni dharmamukhāni	sUkzma paramANu rajaH praBedate eka eka paramANu rajaH naBilApyAni Darma muKAni
   niścārayati / sacettaṃ trisāhasramahāsāhasralokadhātuparyāpannaḥ	niScArayati / saced tam tri sAhasra mahA sAhasra loka DAtu paryApannaH
   sarvasattvā upasaṃkramya ekakṣaṇalavamuhūrtena praśnān paripṛccheyuḥ,	sarva sattvAH upasaMkramya eka kzaNa lava muhUrtena praSnAn paripRcCeyuH,
   ekaikaśca teṣāmapramāṇarutavimātratayā paripṛcchet, yaṃ caikaḥ sattvaḥ	ekEkaH ca tezAm apramANa ruta vimAtra tayA paripRcCet, yam ca ekaH sattvaH
   paripṛcchenna taṃ dvitīyaḥ, taṃ bodhisattvaḥ	paripRcCet na tam dvitIyaH, tam boDisattvaH
   sarvasattvarutapadavyañjanamudgṛhṇiyāt / udgṛhya caikarutābhivyāhāreṇa	sarva sattva ruta pada vyaQjanam udgRhNiyAt / udgRhya ca eka ruta aBivyAhAreNa
   teṣāṃ sarvasattvānāṃ cittāśayān paritoṣayet	tezAm sarva sattvAnAm citta ASayAn paritozayet 
   (yāvadanabhilāpyalokadhāturpayāpannā vā sattvā upasaṃkramya	(yAvat anaBilApya loka DAtuH payApannA vA sattvAH upasaMkramya
   ekakṣaṇalavamuhūrtena praśnān paripṛccheyuḥ, ekaikaśca	eka kzaNa lava muhUrtena praSnAn paripRcCeyuH, ekEkaH ca
   teṣāmapramāṇarutavimātratayā paripṛcchet, yaṃ caikaḥ paripṛcchenna taṃ	tezAm apramANa ruta vimAtra tayA paripRcCet, yam ca ekaH paripRcCet na tam
   dvitīyaḥ, taṃ bodhisattva ekakṣaṇalavamuhūrtenaiva sarvamudgṛhya	dvitIyaH, tam boDisattvaH eka kzaNa lava muhUrtena eva sarvam udgRhya
   ekodāhāreṇaiva sarvānājñāpayet / yāvadanabhilāpyānapi lokadhātūn spharitvā	eka udAhAreNa eva sarvAn AjQApayet / yAvat anaBilApyAn api lokaDAtUn sParitvA
   yathāśayendriyādhimuktitaḥ sattvebhyo dharmaṃ deśayati / dharmasāṃkathyaṃ	yaTA ASaya indriya aDimuktitaH sattveByaH Darmam deSayati / Darma sAMkaTyam
   niṣaṇṇaśca tathāgatādhiṣṭhānasaṃpratyeṣakaḥ sakalena buddhakāryeṇa	nizaNNaH ca taTAgata aDizWAna saMprati ezakaH sakalena budDa kAryeNa
   sarvasattvānāṃ pratyupasthito bhavati / sa bhūyasyā mātrayā evaṃ	sarva sattvAnAm pratyupasTitaH Bavati / sa BUyasyA mAtrayA evam
   jñānāvabhāsapragrahaṇamārabhate / sacedekasmin vālāgraprasare	jQAna avaBAsa pragrahaNam AraBate / saced ekasmin vAla agra prasare
   yāvantyanabhilāpyeṣu lokadhātuṣu paramāṇurajāṃsi	yAvanti anaBilApyezu lokaDAtuzu paramANu rajAMsi
   tāvantastathāgatāstāvadapramāṇaprāpteṣveva parṣanmaṇḍaleṣu dharmaṃ	tAvantaH taTAgatAH tAvat apramANa prAptezu eva parzad maNxalezu Darmam
   deśayeyuḥ / ekaikaśca tathāgatastāvadapramāṇaprāptebhyaḥ sarvasattvebhyo	deSayeyuH / ekEkaH ca taTAgataH tAvat apramANa prApteByaH sarva sattveByaH 
   nānātvato dharmaṃ deśayet, ekaikasmiṃśca sattvāśayasaṃtāne	nAnAtvataH Darmam deSayet, ekEkasmin= ca sattva ASaya saMtAne
   tāvadapramāṇameva dharmopasaṃhāramupasaṃharet / yathā caikastathāgataḥ	tAvat apramANam eva Darma upasaMhAram upasaMharet / yaTA ca ekaH taTAgataH
   parṣanmaṇḍale tathā te sarve tathāgatāḥ / yathā caikasmin vālāgraprasare	parzad maNxale taTA te sarve taTAgatAH / yaTA ca ekasmin vAla agra prasare
   tathā sarvasmin dharmadhātau / tatrāsmābhistādṛśaṃ	taTA sarvasmin DarmaDAtO / tatra asmABiH tAdRSam
   smṛtivaipulyamabhinirhartavyaṃ yathaikakṣaṇena sarvatathāgatānāṃ	smRti vEpulyam aBinirhartavyam yaTA ekakzaNena sarva taTAgatAnAm
   sakāśāddharmāvabhāsaṃ pratyeṣemahi ekarutāvyatirekāt / yāvanti ca tāni	sakASAt Darma avaBAsam pratyezemahi eka ruta avyatirekAt / yAvanti ca tAni
   yathāparikīrtitāni parṣanmaṇḍalāni nānānikāyadharmapravaṇaikaparipūrṇāni,	yaTA parikIrtitAni parzad maNxalAni nAnA nikAya Darma pravaNa eka paripUrNAni,
   tatrāsmābhistādṛśaṃ prajñāvabhāsaviniścayapratibhānaṃ pariśodhyaṃ	tatra asmABiH tAdRSam prajQA avaBAsa viniScaya pratiBAnam pariSoDyam
   yadekakṣaṇena sarvasattvān paritoṣayet, kiṃ punariyatsu lokadhātuṣu	yadeka kzaNena sarva sattvAn paritozayet, kim punar iyatsu lokaDAtuzu
   sattvāni //	sattvAni //
   sa imāṃ sādhumatīṃ bodhisattvabhūmimanuprāpto bodhisattvo bhūyasyā mātrayā	saH imAm sADumatIm boDisattva BUmim anuprAptaH boDisattvaH BUyasyA mAtrayA
   rātriṃdivamananyamanasikāraprayukto bhūtvā	rAtriMdivam ananya manasikAra prayuktaH BUtvA
   buddhagocarānupraviṣṭastathāgatasamavadhānaprāpto	budDa gocara anupravizwaH taTAgata samavaDAna prAptaH 
   gambhīrabodhisattvavimokṣānuprāpto bhavati / sa evaṃjñānānugato	gamBIra boDisattva vimokza anuprAptaH Bavati / saH evaMjQAna anugataH 
   bodhisattvaḥ samāhitastathāgatadarśanaṃ na vijahāti / ekaikāsmiṃśca kalpe	boDisattvaH samAhitaH taTAgata darSanam na vijahAti / ekEka asmin= ca kalpe
   'nekān buddhān, anekāni buddhaśatāni ... anekāni	anekAn budDAn, anekAni budDa SatAni ... anekAni
   buddhakoṭinayutaśatasahasrāṇi ... / dṛṣṭvā ca satkaroti gurukaroti	budDa kowina yuta Sata sahasrANi ... / dRzwvA ca satkaroti gurukaroti
   mānayati pūjayati / audārikena buddhadarśanena pūjopasthānaṃ notsṛjati /	mAnayati pUjayati / OdArikena budDa darSanena pUjA upasTAnam na utsRjati /
   tāṃśca tathāgatān praśnān paripṛcchati / sa dharmadharaṇīnirdeśābhinirjāto	tAn= ca taTAgatAn praSnAn paripRcCati / sa Darma DaraNI nirdeSa aBinirjAtaH 
   bhavati / tasya bhūyasyā mātrayā tāni kuśalamūlānyuttaptatamānyasaṃhāryāṇi	Bavati / tasya BUyasyA mAtrayA tAni kuSala mUlAni uttaptatamAni asaMhAryANi
   bhavanti / tadyathāpi nāma bho jinaputrāstadeva jātarūpamābharaṇīkṛtaṃ	Bavanti / tat yaTA api nAma Bo jinaputrAH tat eva jAtarUpam ABaraNIkRtam
   supariniṣṭhitaṃ kuśalena karmāreṇa rājñaścakravartina uttamāṅge kaṇṭhe vā	su parinizWitam kuSalena karmAreNa rAjQaH cakravartinaH uttamAFge kaNWe vA
   ābaddhamasaṃhārya bhavati sarvakoṭṭarājānāṃ cāturdvipakānāṃ ca	AbadDam asaMhArya Bavati sarva kowwa rAjAnAm cAturdvipakAnAm ca
   sattvānāmābharaṇavikṛtaiḥ, evameva bho jinaputrā bodhisattvasya asyāṃ	sattvAnAm ABaraNa vikRtEH, evam eva Bo jinaputrAH boDisattvasya asyAm
   sādhumatyāṃ bodhisattvabhūmau sthitasya tāni kuśalamūlāni	sADu matyAm boDisattva BUmO sTitasya tAni kuSala mUlAni
   mahājñānālokasuvibhaktānyuttapyante, (Dbh 54) asaṃhāryāṇi bhavanti	mahA jQAna Aloka su viBaktAni uttapyante, (DB 54) asaMhAryANi Bavanti
   sarvaśrāvakapratyekabuddhairadharabhūmisthitaiśca bodhisattvaiḥ / tasya sā	sarva SrAvaka pratyekabudDEH aDara BUmi sTitEH ca boDisattvEH / tasya sA
   kuśalamūlābhā sattvānāṃ kleśacittagahanānyavabhāsya tata eva vyāvartate /	kuSala mUla ABA sattvAnAm kleSa citta gahanAni avaBAsya tatas eva vyAvartate /
   tadyathāpi nāma bho jinaputrā dvisāhasriko mahābrahmā sarvasmin	tat yaTA api nAma Bo jinaputrAH dvi sAhasrikaH mahA brahmA sarvasmin
   dvisāhasrike lokadhātau gahananimnopacārānavabhāsayati, evameva bho	dvi sAhasrike lokaDAtO gahana nimna upacAra anavaBAsayati, evam eva Bo
   jinaputrā bodhisattvasya asyāṃ sādhumatyāṃ bodhisattvabhūmau sthitasya sā	jinaputrAH boDisattvasya asyAm sADu matyAm boDisattva BUmO sTitasya sA
   kuśalamūlābhā sattvānāṃ kleśacittagahanānyavabhāsya tata eva vyāvartate /	kuSala mUla ABA sattvAnAm kleSa citta gahanAni avaBAsya tatas eva vyAvartate /
   tasya daśabhyaḥ pāramitābhyo balapāramitā atiriktatamā bhavati, na ca	tasya daSaByaH pAramitAByaH bala pAramitA atiriktatamA Bavati, na ca
   pariśeṣāsu na samudācarati yathābalaṃ yathābhajamānam / iyaṃ bhavanto	pariSezAsu na samudAcarati yaTAbalam yaTABajamAnam / iyam BavantaH 
   jinaputrā bodhisattvasya sādhumatī nāma navamī bodhisattvabhūmiḥ ...	jinaputrA boDisattvasya sADumatI nAma navamI boDisattva BUmiH ...
   mahābrahmā bhavati mahābalasthāmaprāpto dvisāhasrādhipatirabhibhūḥ ...	mahA brahmA Bavati mahA bala sTAma prAptaH dvi sAhasra aDipatiH aBiBUH ...
   pāramitopadeśeṣvasaṃhāryaḥ sattvāśayaparipṛcchānirdeśaiḥ / yacca kiṃcit	pAramitA upadeSezu asaMhAryaH sattva ASaya paripRcCA nirdeSEH / yat ca kiMcid 
   sādhumatī nāma navamī bhūmiḥ //	sADumatI nAma navamI BUmiH //
   (Dbh 55)	(DB 55)
   10 dharmameghā nāma daśamī bhūmiḥ /	10 Darma meGAH nAma daSamI BUmiH /
   vajragarbho bodhisattva āha   yo 'yaṃ bhavanto jinaputrā bodhisattva	vajragarBaH boDisattvaH Aha  yaH ayam BavantaH jinaputrAH boDisattva
   evamapramāṇajñeyavicāritayā buddhyā yāvannavamī bodhisattvabhūmiriti	evam apramANa jQeya vicAritayA budDyA yAvat navamI boDisattva BUmiH iti
   suvicitavicayaḥ suparipūrṇaśukladharmaḥ paryantasaṃbhāropacayopacitaḥ	su vicita vicayaH su paripUrNa Sukla DarmaH paryanta saMBAra upacaya upacitaH
   suparigṛhītamahāpuṇyajñānasaṃbhāraḥ mahākaruṇāvaipulyādhigataḥ	su parigRhIta mahA puNya jQAna saMBAraH mahA karuNA vEpulya aDigataH
   lokadhātuvibhaktivaimātryakovidaḥ sattvadhātupraviṣṭagahanopacāraḥ	lokaDAtu viBakti vEmAtrya kovidaH sattva DAtu pravizwa gahana upacAraH
   tathāgatagocarapraveśānugatasaṃjñāmanasikāraḥ	taTAgata gocara praveSa anugata saMjQA manasikAraH
   balavaiśāradyabuddhadharmādhyālambanānugataḥ	bala vESAradya budDa Darma aDyAlambana anugataH
   sarvākārasarvajñajñānābhiṣekabhūmiprāpta ityucyate //	sarva AkAra sarvajQa jQAna aBizeka BUmi prAptaH iti ucyate //
   tasya khalu punarbhavanto jinaputrā evaṃjñānānugatasya bodhisattvasya	tasya Kalu punar BavantaH jinaputrAH evaMjQAna anugatasya boDisattvasya
   abhiṣekabhūmisamāpannasya vimalo nāma samādhirāmukhībhavati /	aBizeka BUmi samApannasya vimalaH nAma samADiH AmuKIBavati /
   dharmadhātuvibhaktipraveśaśca nāma / bodhimaṇḍālaṃkāravyūhaśca nāma /	DarmaDAtu viBakti praveSaH ca nAma / boDimaNxa alaMkAra vyUhaH ca nAma /
   sarvākāraraśmikusumaśca nāma / sāgaragarbhaśca nāma / sāgarasamṛddhiśca	sarva AkAra raSmikusumaH ca nAma / sAgaragarBaH ca nAma / sAgara samRdDiH ca
   nāma / ākāśadhātuvipulaśca nāma / sarvadharmasvabhāvavicayaśca nāma /	nAma / AkASa DAtu vipulaH ca nAma / sarva Darma svaBAva vicayaH ca nAma /
   sarvasattvacittacaritānugataśca nāma /	sarva sattva citta carita anugataH ca nAma /
   pratyutpannasarvabuddhasaṃmukhāvasthitaśca nāma	pratyutpanna sarva budDa saMmuKa avasTitaH ca nAma
   bodhisattvasamādhirāmukhībhavati / tasaivaṃpramukhāni daśa	boDisattva samADirA muKIBavati / tasA evaMpramuKAni daSa
   samādhyasaṃkhyeyaśatasahasrāṇyāmukhībhavanti / sa tān sarvān samādhīn	samADi asaMKyeya Sata sahasrANi AmuKI Bavanti / sa tAn sarvAn samADIn
   samāpadyate ca vyuttiṣṭhate ca, samādhikauśalyānugataśca	samApadyate ca vyuttizWate ca, samADi kOSalya anugataH ca
   yāvatsamādhikāryaṃ tatsarvaṃ pratyanubhavati / tasya	yAvat samADi kAryam tat sarvam pratyanuBavati / tasya
   yāvaddaśasamādhyasaṃkhyeyaśatasahasrāṇāṃ paryante	yAvat daSa samADya saMKyeya Sata sahasrANAm paryante
   sarvajñajñānaviśeṣābhiṣekavānnāma bodhisattvasamādhirāmukhībhavati //	sarvajQa jQAna viSeza aBizekavAn nAma boDisattva samADirA muKIBavati //
   yasmin samanantarābhimukhībhūte daśatrisāhasraśatasahasrāparyantapramāṇaṃ	yasmin samanantara aBimuKIBUte daSa tri sAhasra Sata sahasra aparyanta pramANam
   mahāratnarājapadmaṃ prādurbhavati sarvākārararatnapratyarpitaṃ	mahA ratna rAja padmam prAdurBavati sarva AkArara ratna pratyarpitam
   sarvalokaviṣayasamatikrāntaṃ lokottarakuśalamūlasaṃbhūtaṃ	sarva loka vizaya samatikrAntam loka uttara kuSala mUla saMBUtam
   māyāsvabhāvagocarapariniṣpannaṃ dharmadhātusuvyavasthitāvabhāsaṃ	mAyA svaBAva gocara parinizpannam DarmaDAtusu vyavasTita avaBAsam
   divyaviṣayasamatikrāntaṃ	divya vizaya samatikrAntam
   mahāvaiḍūryamaṇiratnadaṇḍamatulyacandanarājakarṇikaṃ mahāśmagarbhakesaraṃ	mahA vExUrya maNi ratna daNxam atulya candana rAja karNikam mahA aSmagarBa kesaram
   jāmbūnadasuvarṇāvabhāsapatramaparimitaraśmisaṃkusumitaśarīraṃ	jAmbUnada suvarNa avaBAsa patram aparimita raSmi saMkusu mita SarIram
   sarvapravararatnapratyuptagarbhamaparyantamahāratnajālasaṃchannaṃ	sarva pravara ratna pratyupta garBam aparyanta mahA ratna jAla saMCannam
   paripūrṇadaśatrisāhasraśatasahasraparamāṇurajaḥsamamahāratnapadmaparivāram	paripUrNa daSa tri sAhasra Sata sahasra paramANu rajaH sama mahA ratna padma parivAram
   / tadanugatastadanurūpaśca tasya bodhisattvasya kāyaḥ saṃtiṣṭhate / sa	/ tad anugataH tad anurUpaH ca tasya boDisattvasya kAyaH saMtizWate / sa
   tasya sarvajñajñānaviśeṣābhiṣekavataḥ samādheḥ	tasya sarvajQa jQAna viSeza aBizekavataH samADeH
   sahapratilambhāttasminmahāratnarājapadme niṣaṇṇaḥ saṃdṛśyate /	saha pratilamBAt tasmin mahA ratna rAja padme nizaNNaH saMdRSyate /
   samanantaraniṣaṇṇaśca sa bodhisattvastasmin mahāratnarājapadme, atha	samanantara nizaNNaH ca sa boDisattvaH tasmin mahA ratna rAja padme, aTa
