   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   brahmahatyābhayākulaḥ KDarp_3.132b	brahmahatyA-Baya-AkulaH KDarp_3.132b
   brahmahatyāvrataṃ tīvraṃ KDarp_3.135a	brahmahatyA-vratam tIvram KDarp_3.135a
   brāhmaṇastamabhāṣata KDarp_3.59b	brAhmaNaH-tam-aBAzata KDarp_3.59b
   brāhmaṇaḥ śrīmatāṃ varaḥ KDarp_1.20b	brAhmaNaH SrImatAm varaH KDarp_1.20b
   brāhmaṇyaṃ yācamānasya KDarp_1.78c	brAhmaNyam yAcamAnasya KDarp_1.78c
   brāhmaṇyāṃ brahmavarjitaḥ KDarp_1.54b	brAhmaNyAm brahma-varjitaH KDarp_1.54b
   bhaktānurodhāducitaṃ mamaitat KDarp_7.25b	Bakta-anuroDAt-ucitam mama-etat KDarp_7.25b
   bhakṣyamāṇamupaplavaiḥ KDarp_2.37d	BakzyamANam-upaplavEH KDarp_2.37d
   bhagavantaṃ tathāgatam KDarp_2.101b	Bagavantam taTAgatam KDarp_2.101b
   bhagavānapi sāścarya- KDarp_2.102a	BagavAn-api sa-AScarya KDarp_2.102a
   bhagnamānamanorathaḥ KDarp_5.42b	Bagna-mAna-manoraTaH KDarp_5.42b
   bhagnasvāsthyamanorathaḥ priyatamāvaṣṭabdhapādadvayaḥ KDarp_2.64c	Bagna-svAsTya-manoraTaH priyatama-avazwabDa-pAda-dvayaH KDarp_2.64c
   bhagnaṃ nimagnaṃ vyasane vivignam KDarp_2.99b	Bagnam nimagnam vyasane vivignam KDarp_2.99b
   bhaṅgena nāṅgānyalasībhavanti KDarp_4.16d	BaFgena na-aFgAni-alasIBavanti KDarp_4.16d
   bhajantyavikleśatapaḥprasaktā KDarp_7.28c	Bajanti-avikleSa-tapaH-prasaktA KDarp_7.28c
   bhayadānena tena kim KDarp_6.22d	Baya-dAnena tena kim KDarp_6.22d
   bhayabhagnagatiḥ prāpa KDarp_3.119c	Baya-Bagna-gatiH prApa KDarp_3.119c
   bhayādavyayaśīlasya KDarp_2.41c	BayAt-avyaya-SIlasya KDarp_2.41c
   bharadvājasutaṃ gaccha KDarp_3.117c	BaradvAja-sutam gacCa KDarp_3.117c
   bharadvājasya putro 'bhūd KDarp_3.18a	BaradvAjasya putraH aBUt KDarp_3.18a
   bharadvājaḥ pramode 'pi KDarp_3.64c	BaradvAjaH pramode api KDarp_3.64c
   bharadvājātmajastāta KDarp_3.107a	BaradvAja-AtmajaH-tAta KDarp_3.107a
   bharadvājātmajo 'bhyetya KDarp_3.79c	BaradvAja-AtmajaH aByetya KDarp_3.79c
   bharadvājātmajo hataḥ KDarp_3.147b	BaradvAja-AtmajaH hataH KDarp_3.147b
   bharturācchādya kartṛtām KDarp_2.23b	BartuH-AcCAdya kartR-tAm KDarp_2.23b
   bhavato 'rthe carāmyaham KDarp_3.135b	BavataH arTe carAmi-aham KDarp_3.135b
   bhavatpadaṃ nityasukhāya naiva KDarp_7.22c	Bavat-padam nitya-suKAya na-eva KDarp_7.22c
   bhavatyantardarpaḥ paribhavapadaṃ kālagalitaḥ KDarp_5.1d	Bavati-antar-darpaH pariBava-padam kAlagalitaH KDarp_5.1d
   bhavatyavanataṃ śiraḥ KDarp_1.56d	Bavati-avanatam SiraH KDarp_1.56d
   bhavatyudāraṃ karuṇārdrasattvaṃ KDarp_6.54c	Bavati-udAram karuNA-Ardra-sattvam KDarp_6.54c
   bhavatyunnatacetasām KDarp_1.31d	Bavati-unnata-cetasAm KDarp_1.31d
   bhavatsaṃdarśanenāham KDarp_4.50a	Bavat-saMdarSanena-aham KDarp_4.50a
   bhavantavidyāḥ prāyeṇa KDarp_3.18c	Bavanta-vidyAH prAyeNa KDarp_3.18c
   bhavanti yasya saṃkalpād KDarp_3.133c	Bavanti yasya saMkalpAt KDarp_3.133c
   bhavanti vimalāśayāḥ KDarp_2.105b	Bavanti vimala-ASayAH KDarp_2.105b
   bhavanti santaḥ kleśoṣma- KDarp_2.106c	Bavanti santaH kleSa-Uzma KDarp_2.106c
   bhavabhramāsaktapariśramāṇāṃ KDarp_2.98a	Bava-Brama-Asakta-pariSramANAm KDarp_2.98a
   bhavāraṇye puṃsāṃ parahitamudāraṃ khalu tapaḥ KDarp_7.73d	Bava-araNye puMsAm para-hitam-udAram Kalu tapaH KDarp_7.73d
   bhaviṣyati muneḥ śāpād KDarp_3.69c	Bavizyati muneH SApAt KDarp_3.69c
   bhasmabhītaṃ sutaṃ muniḥ KDarp_3.124b	Basma-BItam sutam muniH KDarp_3.124b
   bhasmasmeraśarīratā pṛthujaṭābandhaḥ śiromuṇḍanaṃ KDarp_7.68a	Basma-smera-SarIra-tA pRTu-jawA-banDaH SiromuNxanam KDarp_7.68a
   bhāgahartā samāgataḥ KDarp_3.138b	BAga-hartA samAgataH KDarp_3.138b
   bhāti namratayaivaiṣā KDarp_3.6c	BAti namra-tayA-eva-ezA KDarp_3.6c
   bhāravrataṃ tatkathayanti pāpam KDarp_7.14d	BAra-vratam tat-kaTayanti pApam KDarp_7.14d
   bhāreṇeva dhanena kim KDarp_2.46d	BAreNa-iva Danena kim KDarp_2.46d
   bhāryayā svairacāriṇyā KDarp_2.49a	BAryayA svEra-cAriNyA KDarp_2.49a
   bhāryāpyahalyā kila gautamasya KDarp_7.5a	BAryA-api-ahalyA kila gOtamasya KDarp_7.5a
   bhāryābharjitavittasya KDarp_2.24c	BAryA-Barjita-vittasya KDarp_2.24c
   bhāryābhūttadayogyasya KDarp_2.17c	BAryA-aBUt-tad-ayogyasya KDarp_2.17c
   bhāvālokanavismayaḥ KDarp_4.59d	BAva-Alokana-vismayaH KDarp_4.59d
   bhikṣusaṃsadi candanam KDarp_2.103d	Bikzu-saMsadi candanam KDarp_2.103d
   bhiṣagbhaiṣajyavarjitaḥ KDarp_2.70b	Bizaj-BEzajya-varjitaH KDarp_2.70b
   bhītaḥ sa evādya bhavatyadhīraḥ KDarp_5.6b	BItaH saH eva-adya Bavati-aDIraH KDarp_5.6b
   bhītā tamaḥśrīḥ stanarakṣiteva KDarp_7.48b	BItA tamaH-SrIH stana-rakzitA-iva KDarp_7.48b
   bhīmaniṣpīyamāṇasṛg KDarp_5.18a	BIma-nizpIyamANa-sRj KDarp_5.18a
   bhīmabhrūbhaṅgadurmukhau KDarp_3.73b	BIma-BrU-BaFga-durmuKO KDarp_3.73b
   bhīmo 'pi karṇena vikīrṇadhairyaḥ KDarp_5.12a	BImaH api karNena vikIrNa-DEryaH KDarp_5.12a
   bhīrusvabhāvāḥ praviśanti vahnim KDarp_1.66b	BIru-svaBAvAH praviSanti vahnim KDarp_1.66b
   bhīruḥ śūratvamāyāti KDarp_5.14a	BIruH SUra-tvam-AyAti KDarp_5.14a
   bhujadvandvo vṛkodaraḥ KDarp_5.19b	Buja-dvandvaH vRkodaraH KDarp_5.19b
   bhuñjāneṣu dvijanmasu KDarp_6.29d	BuQjAnezu dvijanmasu KDarp_6.29d
   bhubhāśubhaprāktanakarmabhāgī KDarp_2.66c	BuBA-aSuBa-prAktana-karma-BAgI KDarp_2.66c
   bhuvaḥ samastāmbudhimekhalāyā KDarp_4.37a	BuvaH samasta-ambuDi-meKalAyAH KDarp_4.37a
   bhūtalenduḥ purūravāḥ KDarp_4.32d	BU-tala-induH purUravAH KDarp_4.32d
   bhūtānāmiva dehinām KDarp_1.5b	BUtAnAm-iva dehinAm KDarp_1.5b
   bhūtābhibhūta iva mā bhava sābhimānaḥ KDarp_2.67b	BUta-aBiBUtaH iva mA Bava sa-aBimAnaH KDarp_2.67b
   bhūpate svayamadbhutam KDarp_6.38b	BUpate svayam-adButam KDarp_6.38b
   bhūbhujāṃ somavaṃśyānāṃ KDarp_1.18a	BUBujAm soma-vaMSyAnAm KDarp_1.18a
   bhūmagnamūrtirvararatnalobhād KDarp_7.6a	BU-magna-mUrtiH-vara-ratna-loBAt KDarp_7.6a
   bhūrjadṛṣṭena tuṣṭasya KDarp_2.44c	BUrja-dRzwena tuzwasya KDarp_2.44c
   bhṛṅgasvanairāhitahuṃkṛtābhiḥ KDarp_7.50a	BRFga-sva-nErAhita-huMkRtABiH KDarp_7.50a
   bhṛtidānena tena kim KDarp_6.25d	BRti-dAnena tena kim KDarp_6.25d
   bhedādyadarpitaṃ rāga- KDarp_6.19c	Beda-At-yat-arpitam rAga KDarp_6.19c
   bhogabhaṅgabhayeneti KDarp_2.74c	Boga-BaFga-Bayena-iti KDarp_2.74c
   bhogavastrādisaṃpadaḥ KDarp_2.50b	Boga-vastra-Adi-saMpadaH KDarp_2.50b
   bhogavyayamahotsavaḥ KDarp_2.73d	Boga-vyaya-mahA-utsavaH KDarp_2.73d
   bhogārhe navayauvane KDarp_2.46b	Boga-arhe nava-yOvane KDarp_2.46b
   bhogairdhanena ca tadā vada kiṃ karoti KDarp_2.62d	BogEH-Danena ca tadA vada kim karoti KDarp_2.62d
   bhraśyatyeva vasuṃdharāpi sahitā digdantibhiryadvaśāt KDarp_4.70c	BraSyati-eva vasuMDarA-api sahitAH digdantiBiH-yad-vaSAt KDarp_4.70c
   bhrātaḥ kiṃ kriyate vidheḥ KDarp_3.133b	BrAtar kim kriyate viDeH KDarp_3.133b
   bhrūbhaṅgatāṃ tasya tapovanasya KDarp_7.58d	BrU-BaFga-tAm tasya tapaH-vanasya KDarp_7.58d
   bhrūbhaṅgabhīmā muniparṣadāsīt KDarp_7.52d	BrU-BaFga-BImA muni-parzada-AsIt KDarp_7.52d
   majjantamucchiṣṭajale KDarp_6.33c	majjantam-ucCizwa-jale KDarp_6.33c
   maṇikāñcanaśāsanaiḥ KDarp_6.30b	maNi-kAQcana-SAsanEH KDarp_6.30b
   matpitrā yo 'bhicāreṇa KDarp_3.147a	mad-pitrA yaH aBicAreNa KDarp_3.147a
   mathurāyāmabhūtpūrvaṃ KDarp_1.20a	maTurAyAm-aBUt-pUrvam KDarp_1.20a
   madakṣībasya dantinaḥ KDarp_5.25b	madakzIbasya dantinaH KDarp_5.25b
   madanānandadevatām KDarp_3.82b	madana-Ananda-devatAm KDarp_3.82b
   madabhāgyaiściraṃ tīvra- KDarp_3.138c	mada-BAgyEH-ciram tIvra KDarp_3.138c
   madaḥ sādhujanāviṣṭaḥ KDarp_1.27c	madaH sADu-jana-AvizwaH KDarp_1.27c
   mado mohāya mithyaiva KDarp_1.28c	madaH mohAya miTyA-eva KDarp_1.28c
   madbhrātā vāryatāmitaḥ KDarp_3.140d	mad-BrAtA vAryatAmitaH KDarp_3.140d
   madhuraiḥ sūktibheṣajaiḥ KDarp_1.3d	maDurEH sUkti-Beza-jEH KDarp_1.3d
   madhyaratneṣu bimbitā KDarp_4.21b	maDya-ratnezu bimbitA KDarp_4.21b
   manasā tatra tiṣṭhati KDarp_4.34d	manasA tatra tizWati KDarp_4.34d
   manaḥ prasiktaṃ karuṇāmṛtena KDarp_7.16b	manaH prasiktam karuNA-amRtena KDarp_7.16b
   manaḥ praharṣocchalitaṃ babhūva KDarp_7.45d	manaH praharza-ucCalitam baBUva KDarp_7.45d
   manobhavapathe manaḥ KDarp_3.87d	manoBava-paTe manaH KDarp_3.87d
   manorathapathābhyastaṃ KDarp_5.36c	manoraTa-paTa-aByastam KDarp_5.36c
   mandāgneriha bhāṣatām KDarp_2.74b	manda-agneH-iha BAzatAm KDarp_2.74b
   mandāgneśca dhanena kim KDarp_2.40d	manda-agneH-ca Danena kim KDarp_2.40d
   manyante hi manīṣiṇaḥ KDarp_3.143d	manyante hi manIziNaH KDarp_3.143d
   mama kāntilavo 'pyaṅge KDarp_6.51c	mama kAnti-lavaH api-aFge KDarp_6.51c
   mama dāsyati ko bhikṣāṃ KDarp_2.22a	mama dAsyati kaH BikzAm KDarp_2.22a
   mama puṣpaphalādāna- KDarp_3.123a	mama puzpa-Pala-AdAna KDarp_3.123a
   mamādya vijane śīla- KDarp_3.107c	mama-adya vijane SIla KDarp_3.107c
   marmacchedi śarīriṇām KDarp_2.96d	marma=-Cedi SarIriNAm KDarp_2.96d
   malaśīlasya vaṇija- KDarp_2.45a	mala-SIlasya vaNija KDarp_2.45a
   malinasya kuvastrasya KDarp_2.56a	malinasya ku-vastrasya KDarp_2.56a
   maṣīkṛṣṇasya bhoginaḥ KDarp_2.54b	mazI-kRzNasya BoginaH KDarp_2.54b
   mahataste mahīpate KDarp_6.36b	mahataH-te mahIpate KDarp_6.36b
   mahatāmapi pūrveṣām KDarp_5.20a	mahatAm-api pUrvezAm KDarp_5.20a
   mahatsvapi navotsekād KDarp_3.127c	mahatsu-api nava-utsekAt KDarp_3.127c
   mahāpāpakuṭumbinī KDarp_3.99d	mahA-pApa-kuwumbinI KDarp_3.99d
   mahārhamaṇikaṃkaṇam KDarp_4.42b	mahArha-maNi-kaMkaNam KDarp_4.42b
   mahārharatnairgajavājivāhaiḥ KDarp_2.65b	mahArha-ratnEH-gaja-vAji-vAhEH KDarp_2.65b
   mahīkusumadhanvanaḥ KDarp_4.46b	mahI-kusumaDanvanaH KDarp_4.46b
   mahīpate nivartasva KDarp_5.38a	mahIpate nivartasva KDarp_5.38a
   mā kaścinnāma nandasya KDarp_2.74a	mA kaScid-nAma nandasya KDarp_2.74a
   mātarbrāhmaṇaputro 'yaṃ KDarp_1.50a	mAtar-brAhmaNa-putraH ayam KDarp_1.50a
   mātā na yasyāstyavivekarāśiḥ KDarp_1.82a	mAtA na yasya-asti-aviveka-rASiH KDarp_1.82a
   mātuḥ kṣīre sa niścalaḥ KDarp_2.78b	mAtuH kzIre sa niScalaH KDarp_2.78b
   mātuḥ prahāre praṇayasmiteṣu KDarp_5.3b	mAtuH prahAre praNaya-smitezu KDarp_5.3b
   mātsaryeṇa manīṣiṇāṃ pratanute pāruṣyadoṣaṃ girā KDarp_3.13b	mAtsaryeNa manIziNAm pratanute pAruzya-dozam girA KDarp_3.13b
   mādhuryalalitodāra- KDarp_3.78a	mADurya-lalita-udAra KDarp_3.78a
   mānamlāniṃ manīṣiṇām KDarp_3.26d	mAna-mlAnim manIziNAm KDarp_3.26d
   mānyau munimanīṣiṇām KDarp_3.16b	mAnyO muni-manIziNAm KDarp_3.16b
   mā mā malinaya svacchaṃ KDarp_3.90a	mA mA malinaya svacCam KDarp_3.90a
   mālābhrūbhaṅgavibhramaḥ KDarp_3.76b	mAlA-BrU-BaFga-viBramaH KDarp_3.76b
   māleva patitā babhau KDarp_4.23b	mAlA-iva patitA baBO KDarp_4.23b
   mithaḥ kathā samabhavat KDarp_4.27c	miTas kaTA samaBavat KDarp_4.27c
   mithyāpavādadānena KDarp_3.143a	miTyA-pavAda-dAnena KDarp_3.143a
   mithyābhimānakalanāghana eṣa śāpaḥ KDarp_1.44d	miTyA-aBimAna-kalanA-GanaH eza SApaH KDarp_1.44d
   mithyābhimānayoginyā KDarp_3.37c	miTyA-aBimAna-yoginyA KDarp_3.37c
   mithyāvrataṃ jīvitavṛttyupāyaḥ KDarp_7.10d	miTyA-vratam jIvita-vRtti-upAyaH KDarp_7.10d
   mīmāṃsā virasā na śoṣayati kiṃ tarkairalaṃ karkaśaiḥ KDarp_3.53b	mImAMsA virasAH na Sozayati kim tarkEH-alam karkaSEH KDarp_3.53b
   mukhaṃ tava nirīkṣate KDarp_3.92d	muKam tava nirIkzate KDarp_3.92d
   mukhaṃ tu yūnāṃ katiciddināni KDarp_4.3b	muKam tu yUnAm katicid-dinAni KDarp_4.3b
   mukhe tava manīṣiṇaḥ KDarp_3.95d	muKe tava manIziNaH KDarp_3.95d
   mugdhā vidagdhānapi vañcayanti KDarp_1.66d	mugDAH vidagDAn-api vaQcayanti KDarp_1.66d
   mucukundamaśiśriyat KDarp_5.16b	mucukundam-aSiSriyat KDarp_5.16b
   munayo 'pyākulīkṛtāḥ KDarp_4.28d	munayaH api-AkulIkRtAH KDarp_4.28d
   munisūnuḥ kṛpāviṣṭaḥ KDarp_3.56c	muni-sUnuH kRpA-AvizwaH KDarp_3.56c
   munīnkṛpāveśaviṣaṇṇacittā KDarp_7.20c	munIn-kRpa-AveSa-vizaNNa-cittA KDarp_7.20c
   mumūrṣastyaktasarvāśaḥ KDarp_6.23a	mumUrzaH-tyakta-sarva-ASaH KDarp_6.23a
   mumūrṣuḥ saṃprayacchati KDarp_2.110b	mumUrzuH saMprayacCati KDarp_2.110b
   muhurlatānāṃ kusumeṣu kampaḥ KDarp_7.44d	muhur-latAnAm kusumezu kampaH KDarp_7.44d
   muhustṛṇa upekṣayā (?) KDarp_2.55b	muhus-tRNe upekzayA (?) KDarp_2.55b
   muhūrtanidhanaṃ dhanam KDarp_1.28d	muhUrta-niDanam Danam KDarp_1.28d
   muhūrtaṃ kriyatāṃ sthitiḥ KDarp_4.53b	muhUrtam kriyatAm sTitiH KDarp_4.53b
   mūḍhatā kva ca duṣkarma- KDarp_3.99c	mUXa-tA kva ca duzkarma KDarp_3.99c
   mūḍhānāṃ kriyate yena KDarp_1.26c	mUXAnAm kriyate yena KDarp_1.26c
   mūrkhasyāgre prakāśyate KDarp_3.32b	mUrKasya-agre prakASyate KDarp_3.32b
   mūrkhaḥ pramātā kimato 'sti śocyam KDarp_7.15d	mUrKaH pramAtA kim-atas asti Socyam KDarp_7.15d
   mūrkhaḥ śaṃkaravāhanastutipadairyaḥ saṃjñayā hasyate KDarp_4.15b	mUrKaH SaMkara-vAhana-stuti-padEH-yaH saMjQayA hasyate KDarp_4.15b
   mūrcchāsthānena manasā KDarp_6.23c	mUrcCA-sTAnena manasA KDarp_6.23c
   mūrdhaśāyī nidhānānāṃ KDarp_2.12c	mUrDa-SAyI niDAnAnAm KDarp_2.12c
   mūlamanviṣyate yadi KDarp_1.7b	mUlam-anvizyate yadi KDarp_1.7b
   mūlānveṣaṇacintyamānamaniśaṃ nāstyeva puṃsāṃ kulaṃ KDarp_1.15a	mUla-anvezaNa-cintyamAnam-aniSam na-asti-eva puMsAm kulam KDarp_1.15a
   mūṣakā iva gacchanti KDarp_2.71c	mUzakAH iva gacCanti KDarp_2.71c
   mūṣakāpahṛtaṃ koṣe KDarp_2.36c	mUzaka-apahRtam koze KDarp_2.36c
   mṛgāṅganānāmapi saspṛhābhūn KDarp_7.43c	mRga-aFganAnAm-api sa-spRhA-aBUn KDarp_7.43c
   mekhalāyāḥ prabhurbhuvaḥ KDarp_5.29d	meKalAyAH praBuH-BuvaH KDarp_5.29d
   menire dhanyamātmānaṃ KDarp_4.20c	menire Danyam-AtmAnam KDarp_4.20c
   meruśṛṅgādiva cyutaḥ KDarp_1.59b	meru-SRFgAt-iva cyutaH KDarp_1.59b
   meṣasyeva vadho yasya KDarp_5.26c	mezasya-iva vaDaH yasya KDarp_5.26c
   mohagrāheṇa gṛhyate KDarp_1.36d	moha-grAheNa gRhyate KDarp_1.36d
   mohadānena tena kim KDarp_6.23d	moha-dAnena tena kim KDarp_6.23d
   mohaprahāṇāya satāmabhīṣṭam KDarp_7.1b	moha-prahANAya satAm-aBIzwam KDarp_7.1b
   mohaḥ pramāde gurutāmupaiti KDarp_7.65d	mohaH pramAde guru-tAm-upEti KDarp_7.65d
   mohānmithyābhimāninām KDarp_1.6b	mohAt-miTyA-aBimAninAm KDarp_1.6b
   mohe nirālambatanuḥ papāta KDarp_7.56d	mohe nirAlamba-tanuH papAta KDarp_7.56d
   yajvā śrutanidhirnāma KDarp_1.20c	yajvA SrutaniDiH-nAma KDarp_1.20c
   yatirbhogaparigrahāt KDarp_3.49b	yatiH-Boga-parigrahAt KDarp_3.49b
   yatkarotyaruciṃ kleśaṃ KDarp_2.33a	yat-karoti-arucim kleSam KDarp_2.33a
   yatkaṃdharābaddhamapi prayāti KDarp_2.1c	yat-kaMDara-AbadDam-api prayAti KDarp_2.1c
   yatkṣaṇena vinaśyati KDarp_2.37b	yad-kzaNena vinaSyati KDarp_2.37b
   yattaducchvāsasaṃtaptaṃ KDarp_6.12c	yat-tat-ucCvAsa-saMtaptam KDarp_6.12c
   yatnaḥ kāryaḥ sarvathā paṇḍitena KDarp_3.151b	yatnaH kAryaH sarvaTA paNxitena KDarp_3.151b
   yatnāptaratnairvada kiṃ karoti KDarp_2.66d	yatna-Apta-ratnEH-vada kim karoti KDarp_2.66d
   yatnena parirakṣasi KDarp_2.36b	yatnena parirakzasi KDarp_2.36b
   yatparaprāṇarakṣaṇam KDarp_5.23b	yat-para-prANa-rakzaNam KDarp_5.23b
   yatpaścāttāpajananaṃ KDarp_6.24c	yat-paScAt-tApa-jananam KDarp_6.24c
   yatpākapariṇāmena KDarp_4.65c	yad-pAka-pariNAmena KDarp_4.65c
   yatpuṣpadhūpatilaka- KDarp_6.15a	yad-puzpa-DUpa-tilaka KDarp_6.15a
   yatphalaṃ kila vidyāyās KDarp_3.23c	yat-Palam kila vidyAyAH KDarp_3.23c
   yatsadaiva satāṃ satsu KDarp_1.29c	yat-sadA-eva satAm satsu KDA-rp_1.29c
   yatsadoṣamayogyaṃ vā KDarp_6.13c	yat-sa-dozam-ayogyam vA KDarp_6.13c
   yatsaṃtyaktaphalaspṛhaṃ yaducitaṃ sarvasvabhūtaṃ ca yan KDarp_6.26a	yat-saMtyakta-Pala-spRham yat-ucitam sarva-sva-BUtam ca yat KDarp_6.26a
   yatskandhabandhe jīvadbhiḥ KDarp_2.27c	yad-skanDa-banDe jIvadBiH KDarp_2.27c
   yathā jātyaturaṃgasya KDarp_1.8a	yaTA jAtya-turaMgasya KDarp_1.8a
   yathā tvaṃ niṣphalārambhas KDarp_3.60c	yaTA tvam nizPala-AramBaH KDarp_3.60c
   yathārthaṃ sthagitottaraḥ KDarp_3.61b	yaTArTam sTagita-uttaraH KDarp_3.61b
   yathāvāptopayuktārtha- KDarp_2.59a	yaTA-avApta-upayukta-arTa KDarp_2.59a
   yathāśrutaṃ nivedyāsyai KDarp_1.60c	yaTASrutam nivedya-asyE KDarp_1.60c
   yadarjitaṃ parikleśair KDarp_2.8a	yat-arjitam parikleSEH KDarp_2.8a
   yadā daridraḥ paridhānahīnas KDarp_4.14a	yadA daridraH pariDAna-hInaH KDarp_4.14a
   yadā na dhīmānariṣu pramāthī KDarp_4.13a	yadA na DImAn-arizu pramATI KDarp_4.13a
   yadā naraḥ śocati duḥkhataptas KDarp_4.9a	yadA naraH Socati duHKa-taptaH KDarp_4.9a
   yadā prahārairdalitākhilāṅgaḥ KDarp_4.12a	yadA prahArEH-dalitA-aKila-aFgaH KDarp_4.12a
   yadā sadāṅgīkṛtadainyaduḥkha- KDarp_4.11a	yadA sadA-aFgIkRta-dEnya-duHKa KDarp_4.11a
   yadā sthitaḥ preta ivāsthiśeṣaḥ KDarp_4.10a	yadA sTitaH pretaH iva-asTi-SezaH KDarp_4.10a
   yadi yuṣmadvarārho 'haṃ KDarp_3.146c	yadi yuzmad-vara-arhaH aham KDarp_3.146c
   yadi śamavimalamatīnāṃ svamanasi bhavati na darpaḥ KDarp_3.154/b	yadi Sama-vimala-matInAm sva-manasi Bavati na darpaH KDarp_3.154/b
   yadeva darpaprabhavābhibhūtam KDarp_5.4b	yat-eva darpa-praBava-aBiBUtam KDarp_5.4b
   yadyatprāpnoti puruṣaḥ KDarp_6.49a	yat-yat-prApnoti puruzaH KDarp_6.49a
   yadyanena mahatpāpaṃ KDarp_2.93a	yadi-anena mahat-pApam KDarp_2.93a
   yadvidyādiguṇotkarṣa- KDarp_6.3a	yat-vidyA-Adi-guNa-utkarza KDarp_6.3a
   yadvivādaiḥ kariṣyāmi KDarp_3.26c	yad-vivAdEH karizyAmi KDarp_3.26c
   yantratantrānusāriṇyā KDarp_3.48c	yantra-tantra-anusAriNyA KDarp_3.48c
   yannityayācanadveṣaṃ KDarp_6.18c	yat-nitya-yAcana-dvezam KDarp_6.18c
   yanmadadviradārūḍhaḥ KDarp_1.25c	yat-mada-dvirada-ArUXaH KDarp_1.25c
   yayā kleśaprahāṇārham KDarp_2.112c	yayA kleSa-prahANa-arham KDarp_2.112c
   yayāce yuddhamuddhataḥ KDarp_5.36d	yayAce yudDam-udDataH KDarp_5.36d
   yayā bhūpatimāśritya KDarp_3.42a	yayA BUpatim-ASritya KDarp_3.42a
   yayā mugdhamṛgāḥ kūṭaiḥ KDarp_3.47a	yayA mugDa-mRgAH kUwEH KDarp_3.47a
   yayā saṃjāyate yuddhaṃ KDarp_3.44c	yayA saMjAyate yudDam KDarp_3.44c
   yayau stananyastatanuryadastam KDarp_7.7b	yayO stana-nyasta-tanuH-yat-astam KDarp_7.7b
   yayau hṛdayaśalyatām KDarp_5.30d	yayO hRdaya-Salya-tAm KDarp_5.30d
   yavakrītabharadvāja- KDarp_3.149c	yavakrIta-BaradvAja KDarp_3.149c
   yavakrītābhidhaḥ sutāḥ KDarp_3.18b	yavakrIta-aBiDaH sutAH KDarp_3.18b
   yavastokaṃ kalatriṇā KDarp_6.39d	yava-stokam kalatriNA KDarp_6.39d
   yaśasvī niḥsvānāmahamabhimatāśāphalataruḥ KDarp_6.1b	yaSasvI niHsvAnAm-aham-aBimata-ASA-Pala-taruH KDarp_6.1b
   yaśaḥśarīrairajarāmaratvam KDarp_5.45d	yaSaH-SarIrEH-ajara-amara-tvam KDarp_5.45d
   yaṣṭīniṣaṇṇagamanaḥ KDarp_2.83a	yazwI-nizaNNa-gamanaH KDarp_2.83a
   yastasyāphalaśāstrapāṭanapaṭormūḍhasya kiṃ vidyayā KDarp_3.13d	yaH-tasya-aPala-SAstra-pAwana-pawoH-mUXasya kim vidyayA KDarp_3.13d
   yasya prasaktā dayitā na tṛṣṇā KDarp_1.82c	yasya prasaktA dayitA na tRzNA KDarp_1.82c
   yasyaitadgīyate yaśaḥ KDarp_4.33d	yasya-etat-gIyate yaSaH KDarp_4.33d
   yaḥ kārtavīryasya ca doḥsahasraṃ viccheda vīro nahi yudhi jāmadagnyaḥ	yaH kArtavIryasya ca dos-sahasram vicCeda vIraH na-hi yuDi jAmadagnyaH
   KDarp_5.8/a	KDarp_5.8/a
   yaḥ kṣipatyavaṭe tanum KDarp_5.25d	yaH kzipati-avawe tanum KDarp_5.25d
   yaḥ parāvasunā hataḥ KDarp_3.148b	yaH parAvasunA hataH KDarp_3.148b
   yaḥ pūrvapuruṣo budhaḥ KDarp_1.18b	yaH pUrvapuruzaH buDaH KDarp_1.18b
   yaḥ sarpa iva saṃnaddhaḥ KDarp_5.22c	yaH sarpaH iva saMnadDaH KDarp_5.22c
   yācyadānena tena kim KDarp_6.18d	yAcya-dAnena tena kim KDarp_6.18d
   yājakau jagmaturgeham KDarp_3.128c	yAjakO jagmatuH-geham KDarp_3.128c
   yāñcādainyapralāpinaḥ KDarp_1.12d	yAQcA-dEnya-pralApinaH KDarp_1.12d
   yātaḥ kacinna hetutām KDarp_4.58b	yAtaH kacid-na hetu-tAm KDarp_4.58b
   yātaḥ sa sahasāndhatām KDarp_1.76b	yAtaH sa sahasA-anDatAm KDarp_1.76b
   yāti cintāvidheyatām KDarp_6.49d	yAti cintA-viDeya-tAm KDarp_6.49d
   yā muhurdhanināmagre KDarp_3.33c	yA muhur-DaninAm-agre KDarp_3.33c
   yā lajjājananī jāḍyāt KDarp_3.40c	yA lajjA-jananI jAxyAt KDarp_3.40c
   yāvatpūrvasamanvayaḥ KDarp_1.10b	yAvat-pUrva-samanvayaH KDarp_1.10b
   yāvadvādena śodhakaiḥ KDarp_3.8b	yAvat-vAdena SoDakEH KDarp_3.8b
   yāvanna pārthivāsthāna- KDarp_3.7c	yAvat-na pArTiva-AsTAna KDarp_3.7c
   yuktastaireva saṅgrāmas KDarp_5.38c	yuktaH-tEH-eva saFgrAmaH KDarp_5.38c
   yuktāyuktavivādinaḥ KDarp_3.69b	yukta-ayukta-vivAdinaH KDarp_3.69b
