   vāyavīyasaṃhitā	vAyavIya saMhitA
   yaśśivaṃ maṇḍale saure saṃpūjyaiva samāhitaḥ // ŚivP_7.2,8.35ab/	yaH Sivam maNxale sOre saMpUjyA eva samAhitaH // ŚivS _7.2,8.35ab/
   prātarmadhyāhnasāyāhne pradadyādarghyamuttamam // ŚivP_7.2,8.35cd/	prAtar maDyAhna sAyAhne pradadyAt arGyam uttamam // ŚivS _7.2,8.35cd/
   praṇamedvā paṭhedetāñchlokāñchrutimukhānimān // ŚivP_7.2,8.36ab/	praNamet vA paWet etAn SlokAn Sruti muKAn imAn // ŚivS _7.2,8.36ab/
   na tasya durllabhaṃ kiṃcidbhaktaścenmucyate dṛḍham // ŚivP_7.2,8.36cd/	na tasya durllaBam kiMcid BaktaH ced mucyate dRXam // ŚivS _7.2,8.36cd/
   tasmādabhyarcayenityaṃ śivamādityarūpiṇam // ŚivP_7.2,8.37ab/	tasmAt aByarcayenityam Sivam Aditya rUpiNam // ŚivS _7.2,8.37ab/
   dharmakāmārthamuktyarthaṃ manasā karmaṇā girā // ŚivP_7.2,8.37cd/	Darma kAma arTa mukti arTam manasA karmaNA girA // ŚivS _7.2,8.37cd/
   atha devānsamālokya maṇḍalastho maheśvaraḥ // ŚivP_7.2,8.38ab/	aTa devAn samAlokya maNxala sTaH maheSvaraH // ŚivS _7.2,8.38ab/
   sarvāgamottaraṃ dattvā śāstramaṃtaradhāddharaḥ // ŚivP_7.2,8.38cd/	sarva Agama uttaram dattvA SAstram aMtaraDAt haraH // ŚivS _7.2,8.38cd/
   tatra pūjādhikāro 'yaṃ brahmakṣatraviśāmiti // ŚivP_7.2,8.39ab/	tatra pUjA aDikAraH ayam brahma kzatra viSAm iti // ŚivS _7.2,8.39ab/
   jñātvā praṇamya deveśaṃ devā jagmuryathāgatam // ŚivP_7.2,8.39cd/	jQAtvA praNamya deveSam devAH jagmuH yaTAgatam // ŚivS _7.2,8.39cd/
   atha kālena mahatā tasmiñchāstre tirohite // ŚivP_7.2,8.40ab/	aTa kAlena mahatA tasmin SAstre tirohite // ŚivS _7.2,8.40ab/
   bhartāraṃ paripapraccha tadaṃkasthā maheśvarī // ŚivP_7.2,8.40cd/	BartAram paripapracCa tad aMka sTA maheSvarI // ŚivS _7.2,8.40cd/
   tayā sa codito devo devyā candravibhūṣaṇaḥ // ŚivP_7.2,8.41ab/	tayA sa coditaH devaH devyA candra viBUzaNaH // ŚivS _7.2,8.41ab/
   avadatkaramuddhṛtya śāstraṃ sarvāgamottaram // ŚivP_7.2,8.41cd/	avadat karam udDRtya SAstram sarva Agama uttaram // ŚivS _7.2,8.41cd/
   pravartitaṃ ca talloke niyogātparameṣṭhinaḥ // ŚivP_7.2,8.42ab/	pravartitam ca tat loke niyogAt paramezWinaH // ŚivS _7.2,8.42ab/
   mayāgastyena guruṇā dadhīcena maharṣiṇā // ŚivP_7.2,8.42cd/	mayA agastyena guruNA daDIcena mahA RziNA // ŚivS _7.2,8.42cd/
   svayamapyavatīryorvyāṃ yugāvarteṣu śūladhṛk // ŚivP_7.2,8.43ab/	svayam api avatIrya urvyAm yuga Avartezu SUla DRk // ŚivS _7.2,8.43ab/
   svāśritānāṃ vimuktyarthaṃ kurute jñānasaṃtatim // ŚivP_7.2,8.43cd/	sva ASritAnAm vimukti arTam kurute jQAna saMtatim // ŚivS _7.2,8.43cd/
   ṛbhussatyo bhārgavaśca hyaṃgirāḥ savitā dvijāḥ // ŚivP_7.2,8.44ab/	RBussatyaH BArgavaH ca hi aMgirAH savitA dvijAH // ŚivS _7.2,8.44ab/
   mṛtyuḥ śatakraturdhīmānvasiṣṭho munipuṃgavaḥ // ŚivP_7.2,8.44cd/	mRtyuH SatakratuH DImAn vasizWaH muni puMgavaH // ŚivS _7.2,8.44cd/
   sārasvatastridhāmā ca trivṛto munipuṃgavaḥ // ŚivP_7.2,8.45ab/	sArasvataH triDAmA ca trivRtaH muni puMgavaH // ŚivS _7.2,8.45ab/
   śatatejāssvayaṃ dharmo nārāyaṇa iti śrutaḥ // ŚivP_7.2,8.45cd/	Sata tejAssu ayam DarmaH nArAyaNaH iti SrutaH // ŚivS _7.2,8.45cd/
   svarakṣaścāruṇirdhīmāṃstathā caiva kṛtaṃjayaḥ // ŚivP_7.2,8.46ab/	sva rakzaH ca aruNiH DImAn= taTA ca eva kRtaMjayaH // ŚivS _7.2,8.46ab/
   kṛtaṃjayo bharadvājo gautamaḥ kaviruttamaḥ // ŚivP_7.2,8.46cd/	kRtaMjayaH BaradvAjaH gOtamaH kaviH uttamaH // ŚivS _7.2,8.46cd/
   vācaḥsravā munissākṣāttathā sūkṣmāyaṇiḥ śuciḥ // ŚivP_7.2,8.47ab/	vAcaHsravA muniH sAkzAt taTA sUkzmAyaNiH SuciH // ŚivS _7.2,8.47ab/
   tṛṇabiṃdurmuniḥ kṛṣṇaḥ śaktiḥ śākteya uttaraḥ // ŚivP_7.2,8.47cd/	tRNabiMduH muniH kRzNaH SaktiH SAkteyaH uttaraH // ŚivS _7.2,8.47cd/
   jātūkarṇyo harissākṣātkṛṣṇadvaipāyano muniḥ // ŚivP_7.2,8.48ab/	jAtUkarNyaH harissAkzAt kRzNadvEpAyanaH muniH // ŚivS _7.2,8.48ab/
   vyāsāvatārāñchṛṇvaṃtu kalpayogeśvarānkramāt // ŚivP_7.2,8.48cd/	vyAsa avatArAn SRNvaMtu kalpa yoga ISvarAn kramAt // ŚivS _7.2,8.48cd/
   laiṃge vyāsāvatārā hi dvāparāṃ teṣu suvratāḥ // ŚivP_7.2,8.49ab/	lEMge vyAsa avatArAH hi dvAparAm tezu suvratAH // ŚivS _7.2,8.49ab/
   yogācāryāvatārāśca tathā śiṣyeṣu śūlinaḥ // ŚivP_7.2,8.49cd/	yoga AcArya avatArAH ca taTA Sizyezu SUlinaH // ŚivS _7.2,8.49cd/
   tatra tatra vibhoḥ śiṣyāścatvāraḥ syurmahaujasaḥ // ŚivP_7.2,8.50ab/	tatra tatra viBoH SizyAH catvAraH syuH mahA ojasaH // ŚivS _7.2,8.50ab/
   śiṣyāsteṣāṃ praśiṣyāśca śataśo 'tha sahasraśaḥ // ŚivP_7.2,8.50cd/	SizyAH tezAm praSizyAH ca SataSas aTa sahasraSas // ŚivS _7.2,8.50cd/
   teṣāṃ saṃbhāvanālloke śaivājñākaraṇādibhiḥ // ŚivP_7.2,8.51ab/	tezAm saMBAvanAt loke SEva AjQA karaNa AdiBiH // ŚivS _7.2,8.51ab/
   bhāgyavaṃto vimucyaṃte bhaktyā cātyaṃtabhāvitāḥ // ŚivP_7.2,8.51cd/	BAgyavaMtaH vimucyaMte BaktyA ca atyaMta BAvitAH // ŚivS _7.2,8.51cd/
   oṃ iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāmuttarakhaṇḍe	om iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm uttara KaNxe
   śivatattvajñāne vyāsāvatāravarṇanaṃ nāmāṣṭamo 'dhyāyaḥ	Siva tattva jQAne vyAsAvatAravarNanam nAma azwamaH aDyAyaH
   Chapter 9	ChapteH 9
   kṛṣṇa uvāca	kRzNaH uvAca
   yugāvarteṣu sarveṣu yogācāryacchalena tu // ŚivP_7.2,9.1ab/	yuga Avartezu sarvezu yoga AcArya= Calena tu // ŚivS _7.2,9.1ab/
   avatārānhi śarvasya śiṣyāṃśca bhagavanvada // ŚivP_7.2,9.1cd/	avatArAn hi Sarvasya SizyAn= ca Bagavan vada // Śivj _7.2,9.1cd/
   upamanyuruvāca	upamanyuH uvAca
   śvetaḥ sutāro madanaḥ suhotraḥ kaṅka eva ca // ŚivP_7.2,9.2ab/	SvetaH sutAraH madanaH suhotraH kaFkaH eva ca // ŚivS _7.2,9.2ab/
   laugākṣiśca mahāmāyo jaigīṣavyastathaiva ca // ŚivP_7.2,9.2cd/	lOgAkziH ca mahAmAyaH jEgIzavyaH taTA eva ca // Śivj _7.2,9.2cd/
   dadhivāhaśca ṛṣabho munirugro 'trireva ca // ŚivP_7.2,9.3ab/	daDivAhaH ca RzaBaH muniH ugraH atriH eva ca // ŚivS _7.2,9.3ab/
   553b	553b
   supālako gautamaśca tathā vedaśirā muniḥ // ŚivP_7.2,9.3cd/	supAlakaH gOtamaH ca taTA vedaSirAH muniH // Śivj _7.2,9.3cd/
   gokarṇaśca guhāvāsī śikhaṇḍī cāparaḥ smṛtaḥ // ŚivP_7.2,9.4ab/	gokarNaH ca guhAvAsI SiKaNxI ca aparaH smRtaH // ŚivS _7.2,9.4ab/
   jaṭāmālī cāṭṭahāso dāruko lāṃgulī tathā // ŚivP_7.2,9.4cd/	jawAmAlI ca awwahAsaH dArukaH lAMgulI taTA // Śivj _7.2,9.4cd/
   mahākālaśca śūlī ca ḍaṃḍī muṇḍīśa eva ca // ŚivP_7.2,9.5ab/	mahAkAlaH ca SUlI ca xaMxI muNxISaH eva ca // ŚivS _7.2,9.5ab/
   saviṣṇussomaśarmā ca lakulīśvara eva ca // ŚivP_7.2,9.5cd/	savizNussomaSarmA ca lakulISvaraH eva ca // Śivj _7.2,9.5cd/
   ete vārāha kalpe 'sminsaptamasyāṃtaro manoḥ // ŚivP_7.2,9.6ab/	ete vArAha kalpe asmin saptamasya aMtaraH manoH // ŚivS _7.2,9.6ab/
   aṣṭāviṃśatisaṃkhyātā yogācāryā yugakramāt // ŚivP_7.2,9.6cd/	azwAviMSati saMKyAtAH yoga AcAryAH yuga kramAt // Śivj _7.2,9.6cd/
   śiṣyāḥ pratyekameteṣāṃ catvāraśśāṃtacetasaḥ // ŚivP_7.2,9.7ab/	SizyAH pratyekam etezAm catvAraH SAMta cetasaH // ŚivS _7.2,9.7ab/
   śvetādayaśca ruṣyāṃtāṃstānbravīmi yathākramam // ŚivP_7.2,9.7cd/	Sveta AdayaH ca ruzya aMtAn= tAn bravImi yaTAkramam // ŚivS _7.2,9.7cd/
   śvetaśśvetaśikhaścaiva śvetāśvaḥ śvetalohitaḥ // ŚivP_7.2,9.8ab/	SvetaH SvetaSiKaH ca eva SvetASvaH Sveta lohitaH // ŚivS _7.2,9.8ab/
   dundubhiśśatarūpaśca ṛcīkaḥ ketumāṃstathā // ŚivP_7.2,9.8cd/	dunduBiH Sata rUpaH ca RcIkaH ketumAn= taTA // Śivj _7.2,9.8cd/
   vikośaśca vikeśaśca vipāśaḥ pāśanāśanaḥ // ŚivP_7.2,9.9ab/	vikoSaH ca vikeSaH ca vipASaH pASa nASanaH // ŚivS _7.2,9.9ab/
   sumukho durmukhaścaiva durgamo duratikramaḥ // ŚivP_7.2,9.9cd/	sumuKaH durmuKaH ca eva durgamaH duratikramaH // Śivj _7.2,9.9cd/
   sanatkumārassanakaḥ sanaṃdaśca sanātanaḥ // ŚivP_7.2,9.10ab/	sanatkumArassanakaH sa naMdaH ca sanAtanaH // ŚivS _7.2,9.10ab/
   sudhāmā virajāścaiva śaṃkhaścāṃḍaja eva ca // ŚivP_7.2,9.10cd/	suDAmA virajAH ca eva SaMKaH ca aMxajaH eva ca // ŚivS _7.2,9.10cd/
   sārasvataśca meghaśca meghavāhassuvāhakaḥ // ŚivP_7.2,9.11ab/	sArasvataH ca meGaH ca meGavAha ssuvAhakaH // ŚivS _7.2,9.11ab/
   kapilaścāsuriḥ pañcaśikho bāṣkala eva ca // ŚivP_7.2,9.11cd/	kapilaH ca AsuriH paQcaSiKaH bAzkalaH eva ca // ŚivS _7.2,9.11cd/
   parāśarāśca gargaśca bhārgavaścāṃgirāstathā // ŚivP_7.2,9.12ab/	parASarAH ca gargaH ca BArgavaH ca aMgirAH taTA // ŚivS _7.2,9.12ab/
   balabandhurnirāmitrāḥ ketuśṛṃgastapodhanaḥ // ŚivP_7.2,9.12cd/	bala banDuH nirAmitrAH ketu SRMgaH tapoDanaH // ŚivS _7.2,9.12cd/
   laṃbodaraśca laṃbaśca lambātmā laṃbakeśakaḥ // ŚivP_7.2,9.13ab/	laMbodaraH ca laMbaH ca lamba AtmA laMbakeSakaH // ŚivS _7.2,9.13ab/
   sarvajñassamabuddhiśca sādhyasiddhistathaiva ca // ŚivP_7.2,9.13cd/	sarvajQa ssama budDiH ca sADya sidDiH taTA eva ca // ŚivS _7.2,9.13cd/
   sudhāmā kaśyapaścaiva vasiṣṭho virajāstathā // ŚivP_7.2,9.14ab/	suDAmA kaSyapaH ca eva vasizWaH virajAH taTA // ŚivS _7.2,9.14ab/
   atrirugro guruśreṣṭhaḥ śravanotha śraviṣṭakaḥ // ŚivP_7.2,9.14cd/	atriH ugraH guru SrezWaH SravanoTa SravizwakaH // ŚivS _7.2,9.14cd/
   kuṇiśca kuṇibāhuśca kuśarīraḥ kunetrakaḥ // ŚivP_7.2,9.15ab/	kuNiH ca kuNibAhuH ca kuSarIraH kunetrakaH // ŚivS _7.2,9.15ab/
   kāśyapo hyuśanāścaiva cyavanaśca bṛhaspatiḥ // ŚivP_7.2,9.15cd/	kASyapaH hi uSanAH ca eva cyavanaH ca bRhaspatiH // ŚivS _7.2,9.15cd/
   utathyo vāmadevaśca mahākālo mahā 'nilaḥ // ŚivP_7.2,9.16ab/	utaTyaH vAmadevaH ca mahAkAlaH mahA anilaH // ŚivS _7.2,9.16ab/
   vācaḥśravāḥ suvīraśca śyāvakaśca yatīśvaraḥ // ŚivP_7.2,9.16cd/	vAcaHSravAH suvIraH ca SyAvakaH ca yati ISvaraH // ŚivS _7.2,9.16cd/
   hiraṇyanābhaḥ kauśalyo lokākṣiḥ kuthumistathā // ŚivP_7.2,9.17ab/	hiraNyanABaH kOSalyaH lokAkziH kuTumiH taTA // ŚivS _7.2,9.17ab/
   sumanturjaiminiścaiva kubandhaḥ kuśakandharaḥ // ŚivP_7.2,9.17cd/	sumantuH jEminiH ca eva kubanDaH kuSa kanDaraH // ŚivS _7.2,9.17cd/
   plakṣo dārbhāyaṇiścaiva ketumāngautamastathā // ŚivP_7.2,9.18ab/	plakzaH dArBAyaNiH ca eva ketumAn gOtamaH taTA // ŚivS _7.2,9.18ab/
   bhallavī madhupiṃgaśca śvetaketustathaiva ca // ŚivP_7.2,9.18cd/	BallavI maDu piMgaH ca SvetaketuH taTA eva ca // ŚivS _7.2,9.18cd/
   uśijo bṛhadaśvaśca devalaḥ kavireva ca // ŚivP_7.2,9.19ab/	uSijaH bRhadaSvaH ca devalaH kaviH eva ca // ŚivS _7.2,9.19ab/
   śālihotraḥ suveṣaśca yuvanāśvaḥ śaradvasuḥ // ŚivP_7.2,9.19cd/	SAlihotraH su vezaH ca yuvanASvaH Sarad vasuH // ŚivS _7.2,9.19cd/
   akṣapādaḥ kaṇādaśca ulūko vatsa eva ca // ŚivP_7.2,9.20ab/	akzapAdaH kaNAdaH ca ulUkaH vatsaH eva ca // ŚivS _7.2,9.20ab/
   kulikaścaiva gargaśca mitrako ruṣya eva ca // ŚivP_7.2,9.20cd/	kulikaH ca eva gargaH ca mitrakaH ruzyaH eva ca // ŚivS _7.2,9.20cd/
   ete śiṣyā maheśasya yogācāryasvarūpiṇaḥ // ŚivP_7.2,9.21ab/	ete SizyAH maheSasya yoga AcArya svarUpiNaH // ŚivS _7.2,9.21ab/
   saṃkhyā ca śatameteṣāṃ saha dvādaśasaṃkhyayā // ŚivP_7.2,9.21cd/	saMKyA ca Satam etezAm saha dvAdaSa saMKyayA // ŚivS _7.2,9.21cd/
   sarve pāśupatāḥ siddhā bhasmoddhūlitavigrahāḥ // ŚivP_7.2,9.22ab/	sarve pASupatAH sidDAH Basma udDUlita vigrahAH // ŚivS _7.2,9.22ab/
   sarvaśāstrārthatattvajñā vedavedāṃgapāragāḥ // ŚivP_7.2,9.22cd/	sarva SAstra arTa tattva jQAH veda vedAMga pAragAH // ŚivS _7.2,9.22cd/
   śivāśramaratāssarve śivajñānaparāyaṇāḥ // ŚivP_7.2,9.23ab/	Siva ASrama ratAH sarve Siva jQAna parAyaNAH // ŚivS _7.2,9.23ab/
   sarve saṃgavinirmuktāḥ śivaikāsaktacetasaḥ // ŚivP_7.2,9.23cd/	sarve saMga vinirmuktAH Siva eka Asakta cetasaH // ŚivS _7.2,9.23cd/
   sarvadvaṃdvasahā dhīrāḥ sarvabhūtahite ratāḥ // ŚivP_7.2,9.24ab/	sarva dvaMdva sahAH DIrAH sarva BUta hite ratAH // ŚivS _7.2,9.24ab/
   ṛjavo mṛdavaḥ svasthā jitakrodhā jiteṃdriyāḥ // ŚivP_7.2,9.24cd/	RjavaH mRdavaH svasTAH jita kroDAH jiteMdriyAH // ŚivS _7.2,9.24cd/
   rudrākṣamālābharaṇāstripuṃḍrāṃkitamastakāḥ // ŚivP_7.2,9.25ab/	rudrAkza mAlA ABaraNAH tri puMxrAMkita mastakAH // ŚivS _7.2,9.25ab/
   śikhājaṭāssarvajaṭā ajaṭā muṃḍaśīrṣakāḥ // ŚivP_7.2,9.25cd/	SiKA jawA ssarva jawAH ajawAH muMxaSIrzakAH // ŚivS _7.2,9.25cd/
   phalamūlāśanaprāyāḥ prāṇāyāmaparāyaṇāḥ // ŚivP_7.2,9.26ab/	Pala mUla aSana prAyAH prANAyAma parAyaNAH // ŚivS _7.2,9.26ab/
   554a	554a
   śivābhimānasaṃpannāḥ śivadhyānaikatatparāḥ // ŚivP_7.2,9.26cd/	Siva aBimAna saMpannAH Siva DyAna eka tatparAH // ŚivS _7.2,9.26cd/
   samunmathitasaṃsāraviṣavṛkṣāṃkurodgamāḥ // ŚivP_7.2,9.27ab/	samunmaTita saMsAra viza vRkza aMkura udgamAH // ŚivS _7.2,9.27ab/
   prayātumeva sannaddhāḥ paraṃ śivapuraṃ prati // ŚivP_7.2,9.27cd/	prayAtum eva sannadDAH param Siva puram prati // ŚivS _7.2,9.27cd/
   sadeśikānimānmatvā nityaṃ yaśśivamarcayet // ŚivP_7.2,9.28ab/	sa deSikAn imAn matvA nityam yaH Sivam arcayet // ŚivS _7.2,9.28ab/
   sa yāti śivasāyujyaṃ nātra kāryā vicāraṇā // ŚivP_7.2,9.28cd/	sa yAti Siva sAyujyam na atra kAryA vicAraNAH // ŚivS _7.2,9.28cd/
   oṃ iti śrīśivamahāpu   saptamyāṃ vāyavīyasaṃhitāyāmuttarakhaṇḍe śivasya	om iti SrI Siva mahApu  saptamyAm vAyavIya saMhitAyAm uttara KaNxe Sivasya
   yogāvatāravarṇanaṃ nāma navamo 'dhyāyaḥ	yogAvatAravarNanam nAma navamaH aDyAyaH
   Chapter 10	ChapteH 10
   kṛṣṇa uvāca	kRzNaH uvAca
   bhagavansarvayogīṃdra gaṇeśvara munīśvara // ŚivP_7.2,10.1ab/	Bagavan sarva yogIMdra gaNeSvara muni ISvaraH // ŚivS _7.2,10.1ab/
   ṣaḍānanasamaprakhya sarvajñānanidhe guro // ŚivP_7.2,10.1cd/	zaxAnana sama praKya sarva jQAna niDe guro // ŚivS _7.2,10.1cd/
   prāyastvamavatīryorvyāṃ pāśavicchittaye nṛṇām // ŚivP_7.2,10.2ab/	prAyastvam avatIrya urvyAm pASa vicCittaye nRNAm // ŚivS _7.2,10.2ab/
   maharṣivapurāsthāya sthito 'si parameśvara // ŚivP_7.2,10.2cd/	mahA Rzi vapuH AsTAya sTitaH asi parameSvaraH // ŚivS _7.2,10.2cd/
   anyathā hi jagatyasmin devo vā dānavo 'pi vā // ŚivP_7.2,10.3ab/	anyaTA hi jagati asmin devaH vA dAnavaH api vA // ŚivS _7.2,10.3ab/
   tvattonyaḥ paramaṃ bhāvaṃ ko jānīyācchivātmakam // ŚivP_7.2,10.3cd/	tvad tonyaH paramam BAvam kaH jAnIyAt Siva Atmakam // ŚivS _7.2,10.3cd/
   tasmāttava mukhodgīrṇaṃ sākṣādiva pinākinaḥ // ŚivP_7.2,10.4ab/	tasmAt tava muKa udgIrNam sAkzAt iva pinAkinaH // ŚivS _7.2,10.4ab/
   śivajñānāmṛtaṃ pītvā na me tṛptamabhūnmanaḥ // ŚivP_7.2,10.4cd/	Siva jQAna amRtam pItvA na me tRptam aBUt manaH // ŚivS _7.2,10.4cd/
   sākṣātsarvajagatkarturbharturaṃkaṃ samāśritā // ŚivP_7.2,10.5ab/	sAkzAt sarva jagat kartuH BartuH aMkam samASritAH // ŚivS _7.2,10.5ab/
   bhagavankinnu papraccha bhartāraṃ parameśvarī // ŚivP_7.2,10.5cd/	Bagavan kinnu papracCa BartAram parameSvarI // ŚivS _7.2,10.5cd/
   upamanyuruvāca	upamanyuH uvAca
   sthāne pṛṣṭaṃ tvayā kṛṣṇa tadvakṣyāmi yathātatham // ŚivP_7.2,10.6ab/	sTAne pRzwam tvayA kRzNa tat vakzyAmi yaTAtaTam // ŚivS _7.2,10.6ab/
   bhavabhaktasya yuktasya tava kalyāṇacetasaḥ // ŚivP_7.2,10.6cd/	Bava Baktasya yuktasya tava kalyANa cetasaH // ŚivS _7.2,10.6cd/
   mahīdharavare divye maṃdare cārukaṃdare // ŚivP_7.2,10.7ab/	mahIDara vare divye maMdare cAru kaMdare // ŚivS _7.2,10.7ab/
   devyā saha mahādevo divyo dhyānagato 'bhavat // ŚivP_7.2,10.7cd/	devyA saha mahAdevaH divyaH DyAna gataH aBavat // ŚivS _7.2,10.7cd/
   tadā devyāḥ priyasakhī susmitāsyā śubhāvatī // ŚivP_7.2,10.8ab/	tadA devyAH priya saKI su smita AsyA SuBAvatI // ŚivS _7.2,10.8ab/
   phullānyatimanojñāni puṣpāṇi samudāharat // ŚivP_7.2,10.8cd/	PullAni ati manojQAni puzpANi samudAharat // ŚivS _7.2,10.8cd/
   tataḥ svamaṃkamāropya devīṃ devavarorahaḥ // ŚivP_7.2,10.9ab/	tatas svam aMkam Aropya devIm deva varorahaH // ŚivS _7.2,10.9ab/
   alaṃkṛtya ca taiḥ puṣpairāste hṛṣṭataraḥ svayam // ŚivP_7.2,10.9cd/	alaMkRtya ca tEH puzpEH Aste hRzwataraH svayam // ŚivS _7.2,10.9cd/
   athāṃtaḥpuracāriṇyo devyo divyavibhūṣaṇāḥ // ŚivP_7.2,10.10ab/	aTa aMtaHpura cAriNyaH devyaH divya viBUzaNAH // ŚivS _7.2,10.10ab/
   aṃtaraṃgā gaṇendrāśca sarvalokamaheśvarīm // ŚivP_7.2,10.10cd/	aMtaraMgAH gaNa indrAH ca sarva loka maheSvarIm // ŚivS _7.2,10.10cd/
   bhartāraṃ paripūrṇaṃ ca sarvalokamaheśvaram // ŚivP_7.2,10.11ab/	BartAram paripUrNam ca sarva loka maheSvaram // ŚivS _7.2,10.11ab/
   cāmarāsaktahastāśca devīṃ devaṃ siṣevire // ŚivP_7.2,10.11cd/	cAmara Asakta hastAH ca devIm devam sizevire // ŚivS _7.2,10.11cd/
   tataḥ priyāḥ kathā vṛttā vinodāya maheśayoḥ // ŚivP_7.2,10.12ab/	tatas priyAH kaTA vRttA vinodAya maheSayoH // ŚivS _7.2,10.12ab/
   trāṇāya ca nṛṇāṃ loke ye śivaṃ śaraṇaṃ gatāḥ // ŚivP_7.2,10.12cd/	trANAya ca nRNAm loke ye Sivam SaraNam gatAH // ŚivS _7.2,10.12cd/
   tadāvasaramālokya sarvalokamaheśvarī // ŚivP_7.2,10.13ab/	tadA avasaram Alokya sarva loka maheSvarI // ŚivS _7.2,10.13ab/
   bhartāraṃ paripapraccha sarvalokamaheśvaram // ŚivP_7.2,10.13cd/	BartAram paripapracCa sarva loka maheSvaram // ŚivS _7.2,10.13cd/
   devyuvāca	devI uvAca
   kena vaśyo mahādevo martyānāṃ maṃdacetasām // ŚivP_7.2,10.14ab/	kena vaSyaH mahAdevaH martyAnAm maMda cetasAm // ŚivS _7.2,10.14ab/
   ātmatattvādyaśaktānāmātmanāmakṛtātmanām // ŚivP_7.2,10.14cd/	Atma tattva Adi aSaktAnAm Atma nAm akRtAtmanAm // ŚivS _7.2,10.14cd/
   īśvara uvāca	ISvaraH uvAca
   na karmaṇā na tapasā na japairnāsanādibhiḥ // ŚivP_7.2,10.15ab/	na karmaNA na tapasA na japEH na Asana AdiBiH // ŚivS _7.2,10.15ab/
   na jñānena na cānyena vaśyo 'haṃ śraddhayā vinā // ŚivP_7.2,10.15cd/	na jQAnena na ca anyena vaSyaH aham SradDayA vinA // ŚivS _7.2,10.15cd/
   śraddhā mayyasti cetpuṃsāṃ yena kenāpi hetunā // ŚivP_7.2,10.16ab/	SradDA mayi asti ced puMsAm yena kena api hetunA // ŚivS _7.2,10.16ab/
   vaśyaḥ spṛśyaśca dṛśyaśca pūjyassaṃbhāṣya eva ca // ŚivP_7.2,10.16cd/	vaSyaH spRSyaH ca dRSyaH ca pUjya ssaMBAzyaH eva ca // ŚivS _7.2,10.16cd/
   sādhyā tasmānmayi śaddhā māṃ vaśīkartumicchatā // ŚivP_7.2,10.17ab/	sADyA tasmAt mayi SadDA mAm vaSIkartum icCatA // ŚivS _7.2,10.17ab/
   śraddhā hetussvadharmasya rakṣaṇaṃ varṇināmiha // ŚivP_7.2,10.17cd/	SradDA hetussvaDarmasya rakzaNam varNinAm iha // ŚivS _7.2,10.17cd/
   svavarṇāśramadharmeṇa vartate yastu mānavaḥ // ŚivP_7.2,10.18ab/	sva varNa ASrama DarmeNa vartate yaH tu mAnavaH // ŚivS _7.2,10.18ab/
   tasyaiva bhavati śraddhā mayi nānyasya kasyacit // ŚivP_7.2,10.18cd/	tasya eva Bavati SradDA mayi na anyasya kasyacid // ŚivS _7.2,10.18cd/
   554b	554b
   āmnāyasiddhamakhilaṃ dharmamāśramiṇāmiha // ŚivP_7.2,10.19ab/	AmnAya sidDam aKilam Darmam ASramiNAm iha // ŚivS _7.2,10.19ab/
   brahmaṇā kathitaṃ pūrvaṃ mamaivājñāpurassaram // ŚivP_7.2,10.19cd/	brahmaNA kaTitam pUrvam mama eva AjQA purassaram // ŚivS _7.2,10.19cd/
   sa tu paitāmaho dharmo bahuvittakriyānvitaḥ // ŚivP_7.2,10.20ab/	sa tu pEtAmahaH DarmaH bahu vitta kriyA anvitaH // ŚivS _7.2,10.20ab/
   nātyanta phalabhūyiṣṭhaḥ kleśāyā sasamanvitaḥ // ŚivP_7.2,10.20cd/	na atyanta Pala BUyizWaH kleSAyA sa samanvitaH // ŚivS _7.2,10.20cd/
   tena dharmeṇa mahatāṃ śraddhāṃ prāpya sudurllabhām // ŚivP_7.2,10.20ef/	tena DarmeNa mahatAm SradDAm prApya su durllaBAm // ŚivS _7.2,10.20ef/
   varṇino ye prapadyaṃte māmananyasamāśrayāḥ // ŚivP_7.2,10.21ab/	varNinaH ye prapadyaMte mAm ananya samASrayAH // ŚivS _7.2,10.21ab/
   teṣāṃ sukhena mārgeṇa dharmakāmārthamuktayaḥ // ŚivP_7.2,10.21cd/	tezAm suKena mArgeNa Darma kAma arTa muktayaH // ŚivS _7.2,10.21cd/
   varṇāśramasamācāro mayā bhūyaḥ prakalpitaḥ // ŚivP_7.2,10.22ab/	varNa ASrama samAcAraH mayA BUyas prakalpitaH // ŚivS _7.2,10.22ab/
   tasminbhaktimatāmeva madīyānāṃ tu varṇinām // ŚivP_7.2,10.22cd/	tasmin BaktimatAm eva madIyAnAm tu varNinAm // ŚivS _7.2,10.22cd/
   adhikāro na cānyeṣāmityājñā naiṣṭhikī mama // ŚivP_7.2,10.23ab/	aDikAraH na ca anyezAm iti AjQA nEzWikI mama // ŚivS _7.2,10.23ab/
   tadājñaptena mārgeṇa varṇino madupāśrayāḥ // ŚivP_7.2,10.23cd/	tad AjQaptena mArgeNa varNinaH mad upASrayAH // ŚivS _7.2,10.23cd/
   malamāyādipāśebhyo vimuktā matprasādataḥ // ŚivP_7.2,10.24ab/	mala mAyA Adi pASeByaH vimuktAH mad prasAdataH // ŚivS _7.2,10.24ab/
