   LiP, 1, 1	Li P, 1, 1
   grahanakṣatrasūryās te nīcoccaṛjusaṃsthitāḥ // LiP_1,57.34 //	graha nakzatra sUryAH te nIca ucca Rju saMsTitAH // LiS _1,57.34 //
   samāgame ca bhede ca paśyanti yugapatprajāḥ /	samAgame ca Bede ca paSyanti yugapad prajAH /
   ṛtavaḥ ṣaṭ smṛtāḥ sarve samāgacchanti pañcadhā // LiP_1,57.35 //	RtavaH zaw smRtAH sarve samAgacCanti paQcaDA // LiS _1,57.35 //
   parasparāsthitā hyete yujyante ca parasparam /	paraspara AsTitAH hi ete yujyante ca parasparam /
   asaṃkareṇa vijñeyas teṣāṃ yogastu vai budhaiḥ // LiP_1,57.36 //	asaMkareNa vijQeyaH tezAm yogaH tu vE buDEH // LiS _1,57.36 //
   evaṃ saṃkṣipya kathitaṃ grahāṇāṃ gamanaṃ dvijāḥ /	evam saMkzipya kaTitam grahANAm gamanam dvijAH /
   bhāskarapramukhānāṃ ca yathādṛṣṭaṃ yathāśrutam // LiP_1,57.37 //	BAskara pramuKAnAm ca yaTAdRzwam yaTASrutam // LiS _1,57.37 //
   grahādhipatye bhagavān brahmaṇā padmayoninā /	graha ADipatye BagavAn brahmaNA padmayoninA /
   abhiṣiktaḥ sahasrāṃśū rudreṇa tu yathā guhaḥ // LiP_1,57.38 //	aBiziktaH sahasrAMSuH rudreNa tu yaTA guhaH // LiS _1,57.38 //
   tasmādgrahārcanā kāryā agnau codyaṃ yathāvidhi /	tasmAt graha arcanA kAryAH agnO ca udyam yaTAviDi /
   ādityagrahapīḍāyāṃ sadbhiḥ kāryārthasiddhaye // LiP_1,57.39 //	Aditya graha pIxAyAm sadBiH kArya arTa sidDaye // LiS _1,57.39 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge jyotiścakre grahacārakathanaṃ nāma	iti SrI liFga mahApurANe pUrva BAge jyotiScakre grahacArakaTanam nAma
   saptapañcāśattamo 'dhyāyaḥ	saptapaQcASattamaH aDyAyaH
   LiP, 1, 58	Li P, 1, 58
   ṛṣaya ūcuḥ	RzayaH UcuH
   abhyaṣiñcatkathaṃ brahmā cādhipatye prajāpatiḥ /	aByaziQcat kaTam brahmA ca ADipatye prajApatiH /
   devadaityamukhān sarvān sarvātmā vada sāṃpratam // LiP_1,58.1 //	deva dEtya muKAn sarvAn sarva AtmA vada sAMpratam // LiS _1,58.1 //
   sūta uvāca	sUtaH uvAca
   grahādhipatye bhagavān abhyaṣiñcaddivākaram /	graha ADipatye BagavAn aByaziQcat divAkaram /
   ṛkṣāṇāmoṣadhīnāṃ ca somaṃ brahmā prajāpatiḥ // LiP_1,58.2 //	RkzANAm ozaDInAm ca somam brahmA prajApatiH // LiS _1,58.2 //
   apāṃ ca varuṇaṃ devaṃ dhanānāṃ yakṣapuṅgavam /	apAm ca varuNam devam DanAnAm yakza puFgavam /
   ādityānāṃ tathā viṣṇuṃ vasūnāṃ pāvakaṃ tathā // LiP_1,58.3 //	AdityAnAm taTA vizNum vasUnAm pAvakam taTA // LiS _1,58.3 //
   prajāpatīnāṃ dakṣaṃ ca marutāṃ śakrameva ca /	prajApatInAm dakzam ca marutAm Sakram eva ca /
   daityānāṃ dānavānāṃ ca prahlādaṃ daityapuṅgavam // LiP_1,58.4 //	dEtyAnAm dAnavAnAm ca prahlAdam dEtya puFgavam // LiS _1,58.4 //
   dharmaṃ pitṝṇām adhipaṃ nirṛtiṃ piśitāśinām /	Darmam pitLNAm aDipam nirRtim piSita ASinAm /
   rudraṃ paśūnāṃ bhūtānāṃ nandinaṃ gaṇanāyakam // LiP_1,58.5 //	rudram paSUnAm BUtAnAm nandinam gaNanAyakam // LiS _1,58.5 //
   vīrāṇāṃ vīrabhadraṃ ca piśācānāṃ bhayaṃkaram /	vIrANAm vIraBadram ca piSAcAnAm BayaMkaram /
   mātṝṇāṃ caiva cāmuṇḍāṃ sarvadevanamaskṛtām // LiP_1,58.6 //	mAtLNAm ca eva cAmuNxAm sarva deva namaskRtAm // LiS _1,58.6 //
   rudrāṇāṃ devadeveśaṃ nīlalohitamīśvaram /	rudrANAm devadeveSam nIlalohitam ISvaram /
   vighnānāṃ vyomajaṃ devaṃ gajāsyaṃ tu vināyakam // LiP_1,58.7 //	viGnAnAm vyoma jam devam gajAsyam tu vinAyakam // LiS _1,58.7 //
   strīṇāṃ devīmumāṃ devīṃ vacasāṃ ca sarasvatīm /	strINAm devIm umAm devIm vacasAm ca sarasvatIm /
   viṣṇuṃ māyāvināṃ caiva svātmānaṃ jagatāṃ tathā // LiP_1,58.8 //	vizNum mAyAvinAm ca eva sva AtmAnam jagatAm taTA // LiS _1,58.8 //
   himavantaṃ girīṇāṃ tu nadīnāṃ caiva jāhnavīm /	himavantam girINAm tu nadInAm ca eva jAhnavIm /
   samudrāṇāṃ ca sarveṣām adhipaṃ payasāṃ nidhim // LiP_1,58.9 //	samudrANAm ca sarvezAm aDipam payasAm niDim // LiS _1,58.9 //
   vṛkṣāṇāṃ caiva cāśvatthaṃ plakṣaṃ ca prapitāmahaḥ // LiP_1,58.10 //	vRkzANAm ca eva ca aSvatTam plakzam ca prapitAmahaH // LiS _1,58.10 //
   gandharvavidyādharakinnarāṇām īśaṃ punaś citrarathaṃ cakāra /	ganDarva vidyADara kinnarANAm ISam punar citraraTam cakAra /
   nāgādhipaṃ vāsukimugravīryaṃ sarpādhipaṃ takṣakamugravīryam // LiP_1,58.11	nAga aDipam vAsukim ugra vIryam sarpa aDipam takzakam ugra vIryam // LiS _1,58.11
   digvāraṇānāmadhipaṃ cakāra gajendram airāvatam ugravīryam /*	diS vAraNAnAm aDipam cakAra gaja indram ErAvatam ugra vIryam /*
   suparṇamīśaṃ patatāmathāśvarājānamuccaiḥśravasaṃ cakāra // LiP_1,58.12 //*	suparNam ISam patatAm aTa aSva rAjAnam uccEHSravasam cakAra // LiS _1,58.12 //*
   siṃhaṃ mṛgāṇāṃ vṛṣabhaṃ gavāṃ ca mṛgādhipānāṃ śarabhaṃ cakāra /	siMham mRgANAm vRzaBam gavAm ca mRga aDipAnAm SaraBam cakAra /
   senādhipānāṃ guhamaprameyaṃ śrutismṛtīnāṃ lakulīśamīśam // LiP_1,58.13 //	senA aDipAnAm guham aprameyam Sruti smRtInAm lakulISam ISam // LiS _1,58.13 //
   abhyaṣiñcatsudharmāṇaṃ tathā śaṅkhapadaṃ diśām /	aByaziQcat suDarmANam taTA SaFKa padam diSAm /
   ketumantaṃ krameṇaiva hemaromāṇameva ca // LiP_1,58.14 //	ketumantam krameNa eva hema romANam eva ca // LiS _1,58.14 //
   pṛthivyāṃ pṛthumīśānaṃ sarveṣāṃ tu maheśvaram /	pRTivyAm pRTum ISAnam sarvezAm tu maheSvaram /
   caturmūrtiṣu sarvajñaṃ śaṅkaraṃ vṛṣabhadhvajam // LiP_1,58.15 //	catur mUrtizu sarvajQam SaFkaram vRzaBaDvajam // LiS _1,58.15 //
   prasādādbhagavāñchambhoś cābhyaṣiñcadyathākramam /	prasAdAt BagavAn SamBoH ca aByaziQcat yaTAkramam /
   purābhiṣicya puṇyātmā rarāja bhuvaneśvaraḥ // LiP_1,58.16 //	purA aBizicya puNya AtmA rarAja BuvaneSvaraH // LiS _1,58.16 //
   etadvo vistareṇaiva kathitaṃ munipuṅgavāḥ /	etat vaH vistareNa eva kaTitam muni puFgavAH /
   abhiṣiktāstatastvete viśiṣṭā viśvayoninā // LiP_1,58.17 //	aBiziktAH tatas tu ete viSizwA viSvayoninA // LiS _1,58.17 //
   iti śrīliṅgamahāpurāṇe sūryādyabhiṣekakathanaṃ nāmāṣṭapañcāśattamo	iti SrI liFga mahApurANe sUryAdyaBizekakaTanam nAma azwapaQcASattamaH 
   'dhyāyaḥ	aDyAyaH
   LiP, 1, 59	Li P, 1, 59
   sūta uvāca	sUtaH uvAca
   etacchrutvā tu munayaḥ punastaṃ saṃśayānvitāḥ /	etat SrutvA tu munayaH punar tam saMSaya anvitAH /
   papracchuruttaraṃ bhūyas tadā te romaharṣaṇam // LiP_1,59.1 //	papracCuH uttaram BUyas tadA te roma harzaNam // LiS _1,59.1 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   yadetaduktaṃ bhavatā sūteha vadatāṃ vara /	yat etat uktam BavatA sUta iha vadatAm varaH /
   etadvistarato brūhi jyotiṣāṃ ca vinirṇayam // LiP_1,59.2 //	etat vistarataH brUhi jyotizAm ca vinirNayam // LiS _1,59.2 //
   śrutvā tu vacanaṃ teṣāṃ tadā sūtaḥ samāhitaḥ /	SrutvA tu vacanam tezAm tadA sUtaH samAhitaH /
   uvāca paramaṃ vākyaṃ teṣāṃ saṃśayanirṇaye // LiP_1,59.3 //	uvAca paramam vAkyam tezAm saMSaya nirNaye // LiS _1,59.3 //
   asminnarthe mahāprājñair yaduktaṃ śāntabuddhibhiḥ /	asmin= arTe mahA prAjQEH yat uktam SAnta budDiBiH /
   etadvo 'haṃ pravakṣyāmi sūryacandramasorgatim // LiP_1,59.4 //	etat vaH aham pravakzyAmi sUrya candramasoH gatim // LiS _1,59.4 //
   <fire water circle>	<fire wateH  circle>
   yathā devagṛhāṇīha sūryacandrādayo grahāḥ /	yaTA devagRhANi iha sUrya candra AdayaH grahAH /
   ataḥ paraṃ tu trividham agnervakṣye samudbhavam // LiP_1,59.5 //	atas param tu triviDam agneH vakzye samudBavam // LiS _1,59.5 //
   divyasya bhautikasyāgner atho 'gneḥ pārthivasya ca /	divyasya BOtikasya agneH aTo agneH pArTivasya ca /
   vyuṣṭāyāṃ tu rajanyāṃ ca brahmaṇo 'vyaktajanmanaḥ // LiP_1,59.6 //	vyuzwAyAm tu rajanyAm ca brahmaNaH avyakta janmanaH // LiS _1,59.6 //
   avyākṛtamidaṃ tvāsīn naiśena tamasā vṛtam /	avyAkRtam idam tu AsIt nESena tamasA vRtam /
   caturbhāgāvaśiṣṭe 'smin loke naṣṭe viśeṣataḥ // LiP_1,59.7 //	catur BAga avaSizwe asmin loke nazwe viSezataH // LiS _1,59.7 //
   svayaṃbhūrbhagavāṃstatra lokasarvārthasādhakaḥ /	svayaMBUH BagavAn= tatra loka sarva arTa sADakaH /
   khadyotavatsa vyacarad āvirbhāvacikīrṣayā // LiP_1,59.8 //	Kadyota vat sa vyacarat AvirBAva cikIrzayA // LiS _1,59.8 //
   so 'gniṃ sṛṣṭvātha lokādau pṛthivījalasaṃśritaḥ /	saH agnim sRzwvA aTa loka AdO pRTivI jala saMSritaH /
   saṃhṛtya tatprakāśārthaṃ tridhā vyabhajadīśvaraḥ // LiP_1,59.9 //	saMhRtya tad prakASa arTam triDA vyaBajat ISvaraH // LiS _1,59.9 //
   pavano yastu loke 'smin pārthivo vahnirucyate /	pavanaH yaH tu loke asmin pArTivaH vahniH ucyate /
   yaścāsau lokādau sūrye śuciragnistu sa smṛtaḥ // LiP_1,59.10 //	yaH ca asO loka AdO sUrye SuciH agniH tu sa smRtaH // LiS _1,59.10 //
   vaidyuto 'bjastu vijñeyas teṣāṃ vakṣye tu lakṣaṇam /	vEdyutaH ap jaH tu vijQeyaH tezAm vakzye tu lakzaNam /
   vaidyuto jāṭharaḥ sauro vārigarbhāstrayo 'gnayaḥ // LiP_1,59.11 //	vEdyutaH jAWaraH sOraH vAri garBAH trayaH agnayaH // LiS _1,59.11 //
   tasmādapaḥ pibansūryo gobhir dīpyatyasau vibhuḥ /	tasmAt apaH piban sUryaH goBiH dIpyati asO viBuH /
   jale cābjaḥ samāviṣṭo nādbhir agniḥ praśāmyati // LiP_1,59.12 //	jale ca abjaH samAvizwaH na adBiH agniH praSAmyati // LiS _1,59.12 //
   mānavānāṃ ca kukṣistho nāgniḥ śāmyati pāvakaḥ /	mAnavAnAm ca kukzi sTaH na agniH SAmyati pAvakaH /
   arciṣmānpavanaḥ so 'gnir niṣprabho jāṭharaḥ smṛtaḥ // LiP_1,59.13 //	arcizmAn pavanaH saH agniH nizpraBaH jAWaraH smRtaH // LiS _1,59.13 //
   yaścāyaṃ maṇḍalī śuklī nirūṣmā samprajāyate /	yaH ca ayam maNxalI SuklI nirUzmA samprajAyate /
   prabhā saurī tu pādena hy astaṃ yāte divākare // LiP_1,59.14 //	praBA sOrI tu pAdena hi astam yAte divAkare // LiS _1,59.14 //
   agnimāviśate rātrau tasmāddūrātprakāśate /	agnim AviSate rAtrO tasmAt dUrAt prakASate /
   udyantaṃ ca punaḥ sūryam auṣṇyam agneḥ samāviśet // LiP_1,59.15 //	udyantam ca punar sUryam OzNyam agneH samAviSet // LiS _1,59.15 //
   pādena pārthivasyāgnes tasmādagnistapatyasau /	pAdena pArTivasya agneH tasmAt agniH tapati asO /
   prakāśoṣṇasvarūpe ca saurāgneye tu tejasī // LiP_1,59.16 //	prakASa uzNa svarUpe ca sOra Agneye tu tejasI // LiS _1,59.16 //
   parasparānupraveśād āpyāyete parasparam /	paraspara anupraveSAt ApyAyete parasparam /
   uttare caiva bhūmyardhe tathā hyagniś ca dakṣiṇe // LiP_1,59.17 //	uttare ca eva BUmi arDe taTA hi agniH ca dakziNe // LiS _1,59.17 //
   uttiṣṭhati punaḥ sūryaḥ punarvai praviśaty apaḥ /	uttizWati punar sUryaH punar vE praviSati apaH /
   tasmāttāmrā bhavantyāpo divārātripraveśanāt // LiP_1,59.18 //	tasmAt tAmrAH Bavanti ApaH divA rAtri praveSanAt // LiS _1,59.18 //
   astaṃ yāti punaḥ sūryo 'harvai praviśaty apaḥ /	astam yAti punar sUryaH ahar vE praviSati apaH /
   tasmānnaktaṃ punaḥ śuklā āpo dṛśyanti bhāsvarāḥ // LiP_1,59.19 //	tasmAt naktam punar SuklAH ApaH dRSyanti BAsvarAH // LiS _1,59.19 //
   etena kramayogena bhūmyardhe dakṣiṇottare /	etena krama yogena BUmi arDe dakziNa uttare /
   udayāstamane nityam ahorātraṃ viśaty apaḥ // LiP_1,59.20 //	udaya astamane nityam ahorAtram viSati apaH // LiS _1,59.20 //
   yaścāsau tapate sūryaḥ pibannaṃbho gabhastibhiḥ /	yaH ca asO tapate sUryaH piban= aMBaH gaBastiBiH /
   pārthivāgnivimiśro 'sau divyaḥ śuciriti smṛtaḥ // LiP_1,59.21 //	pArTiva agni vimiSraH asO divyaH SuciH iti smRtaH // LiS _1,59.21 //
   sahasrapādasau vahnir vṛttakumbhanibhaḥ smṛtaḥ /	sahasrapAdasO vahniH vRtta kumBa niBaH smRtaH /
   ādatte sa tu nāḍīnāṃ sahasreṇa samantataḥ // LiP_1,59.22 //	Adatte sa tu nAxInAm sahasreNa samantataH // LiS _1,59.22 //
   nādeyīścaiva sāmudrīḥ kūpāścaiva tathā ghanāḥ /	nAdeyIH ca eva sAmudrIH kUpAH ca eva taTA GanAH /
   sthāvarā jaṅgamāścaiva vāpīkulyādikā apaḥ // LiP_1,59.23 //	sTAvarAH jaFgamAH ca eva vApI kulyA AdikAH apaH // LiS _1,59.23 //
   <classes of sunrays>	<classeH of su nrays>
   tasya raśmisahasraṃ tac chītavarṣoṣṇaniḥsravam /	tasya raSmi sahasram tat SIta varza uzNa niHsravam /
   tāsāṃ catuḥśatā nāḍyo varṣante citramūrtayaḥ // LiP_1,59.24 //	tAsAm catur SatAH nAxyaH varzante citra mUrtayaH // LiS _1,59.24 //
   bhajanāścaiva mālyāś ca ketanāḥ patanās tathā /	BajanAH ca eva mAlyAH ca ketanAH patanAH taTA /
   amṛtā nāmataḥ sarvā raśmayo vṛṣṭisarjanāḥ // LiP_1,59.25 //	amRtAH nAmataH sarvAH raSmayaH vRzwi sarjanAH // LiS _1,59.25 //
   himodvahāś ca tā nāḍyo raśmayas triśatāḥ punaḥ /	hima udvahAH ca tAH nAxyaH raSmayaH tri SatAH punar /
   reśā meghāś ca vātsyāś ca hlādinyo himasarjanāḥ // LiP_1,59.26 //	reSAH meGAH ca vAtsyAH ca hlAdinyaH hima sarjanAH // LiS _1,59.26 //
   candrabhā nāmataḥ sarvā pītābhāś ca gabhastayaḥ /	candraBAH nAmataH sarvA pIta ABAH ca gaBastayaH /
   śuklāś ca kakubhāścaiva gāvo viśvabhṛtas tathā // LiP_1,59.27 //	SuklAH ca kakuBAH ca eva gAvaH viSvaBRtaH taTA // LiS _1,59.27 //
   śuklāstā nāmataḥ sarvās triśatīrgharmasarjanāḥ /	SuklAH tAH nAmataH sarvAH triSatIH Garma sarjanAH /
   somo bibharti tābhistu manuṣyapitṛdevatāḥ // LiP_1,59.28 //	somaH biBarti tABiH tu manuzya pitR devatAH // LiS _1,59.28 //
   manuṣyānauṣadheneha svadhayā ca pitṝnapi /	manuzyAn OzaDena iha svaDayA ca pitLn api /
   amṛtena surān sarvāṃs tisṛbhis tarpayatyasau // LiP_1,59.29 //	amRtena surAn sarvAn tisRBiH tarpayati asO // LiS _1,59.29 //
   vasante caiva grīṣme ca śataiḥ sa tapate tribhiḥ /	vasante ca eva grIzme ca SatEH sa tapate triBiH /
   varṣāsvatho śaradi ca caturbhiḥ saṃpravarṣati // LiP_1,59.30 //	varzAsu aTo Saradi ca caturBiH saMpravarzati // LiS _1,59.30 //
   hemante śiśire caiva himamutsṛjate tribhiḥ /	hemante SiSire ca eva himam utsRjate triBiH /
   <Götter in der Sonne>	<GötteH id deH Sonne>
   indro dhātā bhagaḥ pūṣā mitro 'tha varuṇo 'ryamā // LiP_1,59.31 //	indraH DAtA BagaH pUzA mitraH aTa varuNaH aryamA // LiS _1,59.31 //
   aṃśur vivasvāṃstvaṣṭā ca parjanyo viṣṇureva ca /	aMSuH vivasvAn= tvazwA ca parjanyaH vizNuH eva ca /
   varuṇo māghamāse tu sūrya eva tu phālgune // LiP_1,59.32 //	varuNaH mAGa mAse tu sUryaH eva tu PAlgune // LiS _1,59.32 //
   caitre māsi bhavedaṃśur dhātā vaiśākhatāpanaḥ /	cEtre mAsi Bavet aMSuH DAtA vESAKa tApanaH /
   jyeṣṭhe māsi bhavedindra āṣāḍhe cāryamā raviḥ // LiP_1,59.33 //	jyezWe mAsi Bavet indraH AzAXe ca aryamA raviH // LiS _1,59.33 //
   vivasvān śrāvaṇe māsi prauṣṭhapade bhagaḥ smṛtaḥ /	vivasvAn SrAvaNe mAsi prOzWapade BagaH smRtaH /
   parjanyo 'śvayuje māsi tvaṣṭā vai kārtike raviḥ // LiP_1,59.34 //	parjanyaH aSvayuje mAsi tvazwA vE kArtike raviH // LiS _1,59.34 //
   mārgaśīrṣe bhavenmitraḥ pauṣe viṣṇuḥ sanātanaḥ /	mArgaSIrze Bavet mitraH pOze vizNuH sanAtanaH /
   pañcaraśmisahasrāṇi varuṇasyārkakarmaṇi // LiP_1,59.35 //	paQca raSmi sahasrANi varuNasya arka karmaNi // LiS _1,59.35 //
   ṣaḍbhiḥ sahasraiḥ pūṣā tu devo 'ṃśuḥ saptabhis tathā /	zaxBiH sahasrEH pUzA tu devaH aMSuH saptaBiH taTA /
   dhātāṣṭabhiḥ sahasraistu navabhistu śatakratuḥ // LiP_1,59.36 //	DAtA azwaBiH sahasrEH tu navaBiH tu SatakratuH // LiS _1,59.36 //
   vivasvān daśabhir yāti yātyekādaśabhir bhagaḥ /	vivasvAn daSaBiH yAti yAti ekAdaSaBiH BagaH /
   saptabhistapate mitras tvaṣṭā caivāṣṭabhiḥ smṛtaḥ // LiP_1,59.37 //	saptaBiH tapate mitraH tvazwA ca eva azwaBiH smRtaH // LiS _1,59.37 //
   aryamā daśabhir yāti parjanyo navabhis tathā /	aryamA daSaBiH yAti parjanyaH navaBiH taTA /
   ṣaḍbhī raśmisahasraistu viṣṇustapati medinīm // LiP_1,59.38 //	zaxBiH raSmi sahasrEH tu vizNuH tapati medinIm // LiS _1,59.38 //
   vasaṃte kapilaḥ sūryo grīṣme kāñcanasaprabhaḥ /	vasaMte kapilaH sUryaH grIzme kAQcana sapraBaH /
   śveto varṣāsu varṇena pāṇḍuḥ śaradi bhāskaraḥ // LiP_1,59.39 //	SvetaH varzAsu varNena pANxuH Saradi BAskaraH // LiS _1,59.39 //
   hemante tāmravarṇastu śiśire lohito raviḥ /	hemante tAmra varNaH tu SiSire lohitaH raviH /
   iti varṇāḥ samākhyātā mayā sūryasamudbhavāḥ // LiP_1,59.40 //	iti varNAH samAKyAtAH mayA sUrya samudBavAH // LiS _1,59.40 //
   oṣadhīṣu balaṃ dhatte svadhayā ca pitṛṣvapi /	ozaDIzu balam Datte svaDayA ca pitRzu api /
   sūryo 'mareṣvapyamṛtaṃ trayaṃ triṣu niyacchati // LiP_1,59.41 //	sUryaH amarezu api amRtam trayam trizu niyacCati // LiS _1,59.41 //
   evaṃ raśmisahasraṃ tat sauraṃ lokārthasādhakam /	evam raSmi sahasram tat sOram loka arTa sADakam /
   bhidyate lokamāsādya jalaśītoṣṇaniḥsravam // LiP_1,59.42 //	Bidyate lokam AsAdya jala SIta uzNa niHsravam // LiS _1,59.42 //
   ityetanmaṇḍalaṃ śuklaṃ bhāsvaraṃ sūryasaṃjñitam /	iti etat maNxalam Suklam BAsvaram sUrya saMjQitam /
   nakṣatragrahasomānāṃ pratiṣṭhāyonireva ca // LiP_1,59.43 //	nakzatra graha somAnAm pratizWA yoniH eva ca // LiS _1,59.43 //
   candraṛkṣagrahāḥ sarve vijñeyāḥ sūryasaṃbhavāḥ /	candra Rkza grahAH sarve vijQeyAH sUrya saMBavAH /
   nakṣatrādhipatiḥ somo nayanaṃ vāmamīśituḥ // LiP_1,59.44 //	nakzatra aDipatiH somaH nayanam vAmam ISituH // LiS _1,59.44 //
   nayanaṃ caivam īśasya dakṣiṇaṃ bhāskaraḥ svayam /	nayanam ca evam ISasya dakziNam BAskaraH svayam /
   teṣāṃ janānāṃ loke 'smin nayanaṃ nayate yataḥ // LiP_1,59.45 //	tezAm janAnAm loke asmin nayanam nayate yatas // LiS _1,59.45 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge sūryaraśmisvarūpakathanaṃ	iti SrI liFga mahApurANe pUrva BAge sUrya raSmi svarUpa kaTanam
   nāmaikonaṣaṣṭitamo 'dhyāyaḥ	nAma ekonazazwitamaH aDyAyaH
   LiP, 1, 60	Li P, 1, 60
   sūta uvāca	sUtaH uvAca
   śeṣāḥ pañca grahā jñeyā īśvarāḥ kāmacāriṇaḥ /	SezAH paQca grahAH jQeyAH ISvarAH kAma cAriNaH /
   paṭhyate cāgnirāditya udakaṃ candramāḥ smṛtaḥ // LiP_1,60.1 //	paWyate ca agniH AdityaH udakam candramAH smRtaH // LiS _1,60.1 //
   śeṣāṇāṃ prakṛtiṃ samyag vakṣyamāṇāṃ nibodhata /	SezANAm prakRtim samyak vakzyamANAm niboData /
   surasenāpatiḥ skandaḥ paṭhyate 'ṅgārako grahaḥ // LiP_1,60.2 //	surasenApatiH skandaH paWyate aFgArakaH grahaH // LiS _1,60.2 //
   nārāyaṇaṃ budhaṃ prāhur devaṃ jñānavido janāḥ /	nArAyaNam buDam prAhuH devam jQAna vidaH janAH /
   sarvalokaprabhuḥ sākṣād yamo lokaprabhuḥ svayam // LiP_1,60.3 //	sarva loka praBuH sAkzAt yamaH loka praBuH svayam // LiS _1,60.3 //
   mahāgraho dvijaśreṣṭhā mandagāmī śanaiścaraḥ /	mahA grahaH dvijaSrezWAH manda gAmI SanEScaraH /
   devāsuragurū dvau tu bhānumantau mahāgrahau // LiP_1,60.4 //	deva asura gurU dvO tu BAnumantO mahA grahO // LiS _1,60.4 //
   prajāpatisutāvuktau tataḥ śukrabṛhaspatī /	prajApati sutO= uktO tatas Sukra bRhaspatI /
   ādityamūlamakhilaṃ trailokyaṃ nātra saṃśayaḥ // LiP_1,60.5 //	Aditya mUlam aKilam trElokyam na atra saMSayaH // LiS _1,60.5 //
   bhavatyasmājjagatkṛtsnaṃ sadevāsuramānuṣam /	Bavati asmAt jagat kRtsnam sa deva asura mAnuzam /
   rudrendropendracandrāṇāṃ viprendrāgnidivaukasām // LiP_1,60.6 //	rudra indra upendra candrANAm vipra indra agni divOkasAm // LiS _1,60.6 //
   dyutirdyutimatāṃ kṛtsnaṃ yattejaḥ sarvalaukikam /	dyutiH dyutimatAm kRtsnam yat tejaH sarva lOkikam /
   sarvātmā sarvalokeśo mahādevaḥ prajāpatiḥ // LiP_1,60.7 //	sarva AtmA sarva loka ISaH mahAdevaH prajApatiH // LiS _1,60.7 //
   sūrya eva trilokeśo mūlaṃ paramadaivatam /	sUryaH eva triloka ISaH mUlam parama dEvatam /
   tataḥ saṃjāyate sarvaṃ tatraiva pravilīyate // LiP_1,60.8 //	tatas saMjAyate sarvam tatra eva pravilIyate // LiS _1,60.8 //
   bhāvābhāvau hi lokānām ādityānniḥsṛtau purā /	BAva aBAvO hi lokAnAm AdityAt niHsRtO purA /
   avijñeyo graho viprā dīptimānsuprabho raviḥ // LiP_1,60.9 //	avijQeyaH grahaH viprAH dIptimAn supraBaH raviH // LiS _1,60.9 //
   atra gacchanti nidhanaṃ jāyante ca punaḥ punaḥ /	atra gacCanti niDanam jAyante ca punar punar /
   kṣaṇā muhūrtā divasā niśāḥ pakṣāś ca kṛtsnaśaḥ // LiP_1,60.10 //	kzaNAH muhUrtAH divasAH niSAH pakzAH ca kRtsnaSas // LiS _1,60.10 //
   māsāḥ saṃvatsaraścaiva ṛtavo 'tha yugāni ca /	mAsAH saMvatsaraH ca eva RtavaH aTa yugAni ca /
   tadādityādṛte hyeṣā kālasaṃkhyā na vidyate // LiP_1,60.11 //	tad A AdityAt Rte hi ezA kAla saMKyA na vidyate // LiS _1,60.11 //
   kālādṛte na niyamo na dīkṣā nāhnikakramaḥ /	kAlAt Rte na niyamaH na dIkzA na Ahnika kramaH /
   ṛtūnāṃ ca vibhāgaś ca puṣpaṃ mūlaṃ phalaṃ kutaḥ // LiP_1,60.12 //	RtUnAm ca viBAgaH ca puzpam mUlam Palam kutas // LiS _1,60.12 //
   kutaḥ sasyaviniṣpattis tṛṇauṣadhigaṇo 'pi ca /	kutas sasya vinizpattiH tRNa ozaDi gaNaH api ca /
   abhāvo vyavahārāṇāṃ jantūnāṃ divi ceha ca // LiP_1,60.13 //	aBAvaH vyavahArANAm jantUnAm divi ca iha ca // LiS _1,60.13 //
   jagatpratāpanamṛte bhāskaraṃ rudrarūpiṇam /	jagat pratApanam Rte BAskaram rudra rUpiNam /
   sa eṣa kālaścāgniś ca dvādaśātmā prajāpatiḥ // LiP_1,60.14 //	saH eza kAlaH ca agniH ca dvAdaSa AtmA prajApatiH // LiS _1,60.14 //
   tapatyeṣa dvijaśreṣṭhās trailokyaṃ sacarācaram /	tapati eza dvijaSrezWAH trElokyam sa carAcaram /
   sa eṣa tejasāṃ rāśiḥ samastaḥ sārvalaukikaḥ // LiP_1,60.15 //	saH eza tejasAm rASiH samastaH sArvalOkikaH // LiS _1,60.15 //
   uttamaṃ mārgamāsthāya rātryahobhir idaṃ jagat /	uttamam mArgam AsTAya rAtrI ahoBiH idam jagat /
   pārśvata ūrdhvam adhaś caiva tāpayatyeṣa sarvaśaḥ // LiP_1,60.16 //	pArSvatas UrDvam aDas ca eva tApayati eza sarvaSas // LiS _1,60.16 //
